İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Yapı Durumu,Yapı Tipi,Aidat,Ada,Parsel,Balkon Durumu,Balkon Sayısı,Balkon Tipi,WC Sayısı,Depozito,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
17905889,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,115 m²,135 m²,3+1,11-15,Bahçe Katı,3,Kombi Doğalgaz,Boş,Boş,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,17.500TL,Kocaeli - İzmit - Tavşantepe Mahallesi,https://www.emlakjet.com/ilan/emlaxo-dan-izmit-sehir-hastanesine-yakin-kiralik-31-daire-17905889,,,,,,,,,,,,,,,
17899532,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,150 m²,160 m²,4+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Kocaeli - Gebze - Köşklü Çeşme Mahallesi,https://www.emlakjet.com/ilan/kosklucesmede-41-kiralik-daire-17899532,,,,,,,,,,,,,,,
17904944,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,125 m²,140 m²,3+1,3,3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,26.000TL,Kocaeli - Başiskele - Fatih Mahallesi,https://www.emlakjet.com/ilan/basiskele-manar-city-de-kiralik-arakat-17904944,,,,,,,,,,,,,,,
17902473,17 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,Bahçe Katı,4,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,15.500TL,Kocaeli - Gebze - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/sultan-gayrimenkulden-cumhuriyet-mh-21-kiralik-daire-17902473,,,,,,,,,,,,,,,
17897987,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,90 m²,104 m²,2+1,4,1.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,27.000TL,Kocaeli - Körfez - Atalar Mahallesi,https://www.emlakjet.com/ilan/korfez-atalar-mahallesi-pazar-ceddesinde-sifir-21-otoparkli-kiralik-daire-17897987,Sıfır,Betonarme,,302,7,,,,,,,,,,
17899202,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,250 m²,280 m²,5+1,11-15,Müstakil,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,4,Genel Fiyat,55.000TL,Kocaeli - Gölcük - Topçular Mahallesi,https://www.emlakjet.com/ilan/degirmendere-topcular-da-mustakil-kiralik-villa-17899202,,,,,,,,,,,,,,,
17899026,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,125 m²,143 m²,3+1,11-15,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,35.000TL,Kocaeli - Başiskele - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/havuzlu-ve-guvenlikli-site-icerisinde-140-m2-31-daire-17899026,,,,,,,,,,,,,,,
17903121,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,70 m²,80 m²,1+1,21 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,18.000TL,Kocaeli - İzmit - Hacıhasan Mahallesi,https://www.emlakjet.com/ilan/izmit-carsi-da-giris-kat-11-full-esyali-kiralik-daire-17903121,,,,390,19,,,,,,,,,,
17898688,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,130 m²,150 m²,3+1,21 Ve Üzeri,5.Kat,5,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,26.000TL,Kocaeli - Gölcük - Değirmendere Merkez Mahallesi,https://www.emlakjet.com/ilan/golcuk-degirmendere-merkez-mahallesi-deniz-manzarali-genis-ve-ferah-kiralik-31-daire-17898688,İkinci El,Betonarme,2000 TL,,,,,,,,,,,,
17905171,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,88 m²,100 m²,2+1,0 (Yeni),Bahçe Katı,5,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,25.000TL,Kocaeli - İzmit - Gündoğdu Mahallesi,https://www.emlakjet.com/ilan/izmit-yesilova-bogazova-caddesinde-kiralik-21-bahce-dubleks-17905171,,,,,,,,,,,,,,,
17903354,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.000TL,Kocaeli - Darıca - Emek Mahallesi,https://www.emlakjet.com/ilan/ay-emlak-tan-fsm-cadde-uzerinde-kiralik-21-daire-17903354,,,,,,,,,,,,,,,
17900400,17 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,145 m²,3+1,3,Bahçe Katı,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,25.000TL,Kocaeli - Başiskele - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/yesilyurtta-mustakil-girisli-kiralik-31-bahce-dubleks-daire-17900400,,,,,,,,,,,,,,,
17906589,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,5.Kat,5,Doğalgaz Sobalı,Boş,Eşyalı,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,16.500TL,Kocaeli - İzmit - Erenler Mahallesi,https://www.emlakjet.com/ilan/21-esyali-kiralik-daire-ucyol-bekirdere-izmit-kocaeli-17906589,,,,,,,,,,,,,,,
17902062,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,11-15,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,21.000TL,Kocaeli - Gölcük - Piyalepaşa Mahallesi,https://www.emlakjet.com/ilan/golcuk-piyalepasa-mahallesinde-31-kiralik-daire-17902062,,,,,,,,,,,,,,,
17903691,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,75 m²,90 m²,2+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,20.000TL,Kocaeli - Çayırova - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/sekerpinar-gocmet-konutlarinda-kiralik-21-daire-17903691,,,,,,,,,,,,,,,
17908060,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,5-10,Yüksek Giriş,3,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,25.000TL,Kocaeli - Kartepe - Uzunçiftlik Mahallesi,https://www.emlakjet.com/ilan/atlas-emlak-kiralik-21-yuzme-havuzu-cocuk-parki-site-17908060,,,,,,,,,,,,,,,
17905169,18 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,17.500TL,Kocaeli - İzmit - Akpınar Mahallesi,https://www.emlakjet.com/ilan/kocaeli-izmit-akpinar-toki-korfez-manzarali-full-esyali-11-17905169,,,,,,,,,,,,,,,
17898687,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,Yüksek Giriş,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Kocaeli - Karamürsel - Kayacık Mahallesi,https://www.emlakjet.com/ilan/kocaeli-karamursel-kayacik-mahallesi-iznik-yolunda-kiralik-31-esyali-daire-17898687,İkinci El,,50 TL,,,,,,,,,,,,
17908061,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,65 m²,85 m²,1+1,1,Çatı Katı,4,Merkezi (Pay Ölçer),Boş,Boş,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,18.000TL,Kocaeli - Kartepe - Sarımeşe Mahallesi,https://www.emlakjet.com/ilan/atlas-emlak-kartepe-zeray-mahall-kiralik-cati-dublex-daire-17908061,,,,,,,,,,,,,,,
17906062,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,170 m²,190 m²,5+1,0 (Yeni),2.Kat,3,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,5,Genel Fiyat,40.500TL,Kocaeli - Başiskele - Atakent Mahallesi,https://www.emlakjet.com/ilan/yenikoy-de-merkezi-konum-da-51-190m2-sifir-kiralik-daire-17906062,,,,,,,,,,,,,,,
17888019,15 Ağustos 2025,15 Ağustos 2025,Konut,Kiralık,Daire,170 m²,175 m²,3+1,21 Ve Üzeri,5.Kat,6,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,32.000TL,Kocaeli - İzmit - Karabaş Mahallesi,https://www.emlakjet.com/ilan/izmit-carsi-leyla-atakan-caddesi-kiralik-is-yerine-uygun-daire-ofis-17888019,İkinci El,Betonarme,,475,45,Var,2,Açık Balkon,2,,,,,,
17891528,16 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,175 m²,200 m²,3+2,11-15,6.Kat,6,Kombi Doğalgaz,Boş,Boş,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,27.000TL,Kocaeli - İzmit - Yenişehir Mahallesi,https://www.emlakjet.com/ilan/optimum-gayrimenkul-32-duz-daire-6-kat-17891528,,,,,,,,,,,,,,,
17897625,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,150 m²,165 m²,3+1,21 Ve Üzeri,2.Kat,4,Merkezi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,25.000TL,Kocaeli - İzmit - Şirintepe Mahallesi,https://www.emlakjet.com/ilan/izmit-sirintepe-mahallesi-turyap-sitesi-kiralik-31-arakat-daire-17897625,,,,,,,,,,,,,,,
17890524,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,150 m²,180 m²,3+1,5-10,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.000TL,Kocaeli - Darıca - Emek Mahallesi,https://www.emlakjet.com/ilan/sezer-emlak-halit-kacir-dan-31-kiralik-ters-dubleks-17890524,,,,,,,,,,,,,,,
17891300,16 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,28 m²,45 m²,Stüdyo,5-10,2.Kat,7,Merkezi (Pay Ölçer),Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,16.000TL,Kocaeli - Kartepe - Ataevler Mahallesi,https://www.emlakjet.com/ilan/kartepe-bureau-rezidansta-10-kiralik-esyali-daire-17891300,,,,,,,,,,,,,,,
17895405,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.500TL,Kocaeli - İzmit - Şirintepe Mahallesi,https://www.emlakjet.com/ilan/emlaxo-dan-izmit-sirintepe-de-kiralik-31-daire-17895405,,,,,,,,,,,,,,,
17890499,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,5-10,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,21.000TL,Kocaeli - Darıca - Nenehatun Mahallesi,https://www.emlakjet.com/ilan/darica-nenehatunda-kiralik-giriskat-daire21-90-mtr-17890499,,,,,,,,,,,,,,,
17897200,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,132 m²,3+1,0 (Yeni),Düz Giriş (Zemin),4,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,27.000TL,Kocaeli - İzmit - Tavşantepe Mahallesi,https://www.emlakjet.com/ilan/turan-gunes-caddesi-uzerinde-sifir-31-kiralik-daire-17897200,,,,,,,,,,,,,,,
17897518,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,5-10,6.Kat,8,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,29.000TL,Kocaeli - İzmit - Alikahya Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/yildiz-konutlarinda-kiralik-bos-11-daire-17897518,,,,,,,,,,,,,,,
17890523,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,18.000TL,Kocaeli - Darıca - Kazım Karabekir Mahallesi,https://www.emlakjet.com/ilan/darica-kazimkarabekirde-kiralik-arakat-daire-21-95-mtr-17890523,,,,,,,,,,,,,,,
17891539,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,50 m²,70 m²,1+1,2,2.Kat,4,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,17.000TL,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,https://www.emlakjet.com/ilan/optimum-gy-kartepe-saglik-kent-kiralik-11-arakat-daire-17891539,,,,,,,,,,,,,,,
17891279,16 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,77 m²,82 m²,2+1,11-15,Yüksek Giriş,9,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,21.000TL,Kocaeli - İzmit - 28 Haziran Mahallesi,https://www.emlakjet.com/ilan/izmit-kent-3-etap-kiralik-esyali-21-daire-17891279,,,,,,,,,,,,,,,
17892015,16 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,0 (Yeni),2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,23.000TL,Kocaeli - Başiskele - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/yesilyurt-merkezde-arakat-21-kiralik-daire-17892015,,,,,,,,,,,,,,,
17895664,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,75 m²,91 m²,2+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,1,Genel Fiyat,30.000TL,Kocaeli - Başiskele - Mahmutpaşa Mahallesi,https://www.emlakjet.com/ilan/remax-palas-basiskele-evimiz-kocaeli-esyali-21-kiralik-daire-17895664,,,,186,9,,,,,,,,,,
17890515,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,65 m²,85 m²,2+1,5-10,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,22.000TL,Kocaeli - Darıca - Sırasöğütler Mahallesi,https://www.emlakjet.com/ilan/darica-istasyonu-yeni-basinda-21-yuksek-giris-kiralik-daire-17890515,,,,,,,,,,,,,,,
17894455,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,220 m²,250 m²,3+1,21 Ve Üzeri,Çatı Katı,4,Kombi Doğalgaz,Boş,,Kooperatiften Tapu,Hayır,,1,Genel Fiyat,30.000TL,Kocaeli - Gölcük - Yüzbaşılar Mahallesi,https://www.emlakjet.com/ilan/degirmendere-sahilinde-mukemmel-manzara-ici-full-luks-yapili-31-kiralik-220-mkare-kiralik-17894455,,,,,,,,,,,,,,,
17891534,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,110 m²,130 m²,3+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.500TL,Kocaeli - Derince - Sırrıpaşa Mahallesi,https://www.emlakjet.com/ilan/derince-harmantarla-cami-karsisi-kiralik-31-ara-kat-genis-daire-17891534,,,,,,,,,,,,,,,
17895406,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,115 m²,125 m²,3+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.500TL,Kocaeli - İzmit - Kuruçeşme Fatih Mahallesi,https://www.emlakjet.com/ilan/emlaxo-dan-izmit-kurucesme-de-kiralik-31-arakat-daire-17895406,,,,,,,,,,,,,,,
17889715,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,18.000TL,Kocaeli - Darıca - Abdi İpekçi Mahallesi,https://www.emlakjet.com/ilan/darica-abdiipekci-mah-merkezi-konumda-kiralik-21-arakat-daire-17889715,,,,,,,,,,,,,,,
17895566,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,91 m²,113 m²,2+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,1,Genel Fiyat,30.000TL,Kocaeli - Başiskele - Mahmutpaşa Mahallesi,https://www.emlakjet.com/ilan/remax-palas-basiskele-evimiz-kocaeli-sitesi-buyuktip-21-kiralik-17895566,,,,186,9,,,,,,,,,,
17897604,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,11-15,Çatı Katı,3,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,23.500TL,Kocaeli - Gölcük - Piyalepaşa Mahallesi,https://www.emlakjet.com/ilan/piyalepasa-da-kiralik-cati-dublex-17897604,,,,,,,,,,,,,,,
17891000,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,21 Ve Üzeri,3.Kat,8,Merkezi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,36.000TL,Kocaeli - İzmit - Yahyakaptan Mahallesi,https://www.emlakjet.com/ilan/yahyakaptan-arastapark-yakininda-full-esyali-31-kiralik-daire-17891000,,,,,,,,,,,,,,,
17888168,15 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,11-15,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,25.000TL,Kocaeli - İzmit - Alikahya Atatürk Mahallesi,https://www.emlakjet.com/ilan/amg-emlaktan-iztop-park-evlerinde-21-kiralik-daire-17888168,,,,,,,,,,,,,,,
17893775,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,15.000TL,Kocaeli - İzmit - Çukurbağ Mahallesi,https://www.emlakjet.com/ilan/eskidjiden-cukurbagda-merkezi-konumda-21-daire-17893775,,,,,,,,,,,,,,,
17891274,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,21 Ve Üzeri,4.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Kocaeli - İzmit - Hacıhasan Mahallesi,https://www.emlakjet.com/ilan/izmit-yenituranda-kiralik-deniz-manzarali-31-arakat-daire-17891274,,,,,,,,,,,,,,,
17895536,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,107 m²,132 m²,3+1,5-10,3.Kat,4,Kombi Doğalgaz,Kiracı Oturuyor,,Kat Mülkiyeti,Evet,,1,Genel Fiyat,32.000TL,Kocaeli - Başiskele - Mahmutpaşa Mahallesi,https://www.emlakjet.com/ilan/remax-palas-basiskele-evimiz-kocaeli-sitesi-31-arakat-kiralik-17895536,,,,186,9,,,,,,,,,,
17888110,15 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,21.000TL,Kocaeli - İzmit - Serdar Mahallesi,https://www.emlakjet.com/ilan/inaltay-gayrimenkul-izmit-serdar-mah-31-esyali-kiralik-daire-17888110,,,,,,,,,,,,,,,
17890513,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,19.500TL,Kocaeli - Darıca - Kazım Karabekir Mahallesi,https://www.emlakjet.com/ilan/darica-kazimkarabekir-de-kiralik-arakat-daire-21-90-mtr-17890513,,,,,,,,,,,,,,,
17888115,15 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,105 m²,115 m²,2+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Kocaeli - Körfez - Kuzey Mahallesi,https://www.emlakjet.com/ilan/korfez-kuzey-mh-de-21-kiralik-daire-17888115,,,,,,,,,,,,,,,
