İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Yapı Durumu,Yapı Tipi,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,Salon Metrekare,WC Sayısı,WC Metrekare,Görüntülü Gezilebilir mi?,Ada,Parsel,Depozito,Aidat
17783376,08 Ağustos 2025,08 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,3.Kat,5,Merkezi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,24.000TL,Balıkesir - Ayvalık - Altınova Mahallesi,https://www.emlakjet.com/ilan/no-10-gayrimenkul-den-cadde-ustu-ara-kat-21-kiralik-daire-17783376,,,,,,,,,,,,,,,
17788168,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,220 m²,240 m²,4+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,35.000TL,Balıkesir - Bandırma - Hacı Yusuf Mahallesi,https://www.emlakjet.com/ilan/bandirma-kilit-emlak-tan-haciyusuf-ta-41-dubleks-kiralik-daire-17788168,,,,,,,,,,,,,,,
17779639,08 Ağustos 2025,08 Ağustos 2025,Konut,Kiralık,Daire,65 m²,70 m²,2+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,Yok,Genel Fiyat,15.000TL,Balıkesir - Bandırma - Günaydın Mahallesi,https://www.emlakjet.com/ilan/k00320-ayhan-gezer-emlak-ta-gunaydin-mh-21-esyali-kiralik-daire-17779639,İkinci El,Betonarme,,,,,,,,,,,,,
17778346,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,115 m²,125 m²,3+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL,Balıkesir - Bandırma - Sunullah Mahallesi,https://www.emlakjet.com/ilan/bandirma-sunullah-ta-ara-kat-balkonlu-kiralik-31-daire-17778346,,,,,,,,,,,,369,25,,
17783476,08 Ağustos 2025,08 Ağustos 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.000TL,Balıkesir - Bandırma - Paşabayır Mahallesi,https://www.emlakjet.com/ilan/pasabayir-mahallesinde-kiralik-21-daire-17783476,,,,,,,,,,,,,,,
17782193,08 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,95 m²,110 m²,3+1,2,Bahçe Katı,3,Elektrikli Radyatör,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,50.000TL,Balıkesir - Burhaniye - İskele Mahallesi,https://www.emlakjet.com/ilan/burhaniye-iskele-mahallesinde-kiralik-denize-sifir-bahceli-31-luks-daire-17782193,,,,,,,,,,,,294,46,,
17775382,07 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,105 m²,115 m²,2+1,5-10,Bahçe Katı,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,12.000TL,Balıkesir - Karesi - Maltepe Mahallesi,https://www.emlakjet.com/ilan/balikesir-karesi-maltepe-mah-demirdag-emlaktan-21-kiralik-bahce-kati-daire-17775382,,,,,,,,,,,,11670,6,,
17786082,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,65 m²,70 m²,1+1,1,3.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.000TL,Balıkesir - Bandırma - Çınarlı Mahallesi,https://www.emlakjet.com/ilan/bandirma-cinarli-mahallesinde-kiralik-11-full-esyali-daire-17786082,,,,,,,,,,,,,,,
17777643,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,135 m²,140 m²,3+1,4,2.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,35.000TL,Balıkesir - Bandırma - Paşakent Mahallesi,https://www.emlakjet.com/ilan/atakul-gyo-dan-pasakentte-31-genis-arakat-kiralik-daire-17777643,,,,,,,,,,,,1549,17,,
17787709,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,55 m²,85 m²,1+1,3,Yüksek Giriş,2,Isıtma Yok,Boş,Eşyalı,Kat Mülkiyeti,Evet,,1,Genel Fiyat,20.000TL,Balıkesir - Edremit - Kızılkeçili Mahallesi,https://www.emlakjet.com/ilan/kazdaglarinda-esyali-11-luks-ev-17787709,,,,,,,,,,,,520,1,20000 TL,400 TL
17782077,08 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,133 m²,172 m²,3+1,0 (Yeni),3.Kat,5,Yerden Isıtma,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,42.000TL,Balıkesir - Burhaniye - Ören Mahallesi,https://www.emlakjet.com/ilan/uytundan-orende-havuzlu-ve-tenis-kortlu-sitede-31-kiralik-daire-17782077,,,,,,,,,,,,847,2,,
17792342,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,35 m²,40 m²,1+1,2,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.500TL,Balıkesir - Altıeylül - Dinkçiler Mahallesi,https://www.emlakjet.com/ilan/era-port-guvencesiyle-nef-arkasi-11-esyali-kiralik-daire-17792342,,,,,,,,,,,,,,,
17793260,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,3+1,21 Ve Üzeri,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,22.500TL,Balıkesir - Altıeylül - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/cb-king-den-bahcelievler-mah-31-kiralik-esyali-daire-17793260,,,,,,,,,,,,10832,5,,
17776769,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,21 Ve Üzeri,Bahçe Katı,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,40.000TL,Balıkesir - Edremit - İskele Mahallesi,https://www.emlakjet.com/ilan/altinoluk-narli-da-denize-sifir-genis-bahceli-21-daire-17776769,,,,,,,,,,,,,,,
17796114,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Balıkesir - Burhaniye - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievler-de-muhtesem-konum-da-ferah-21-kiralik-daire-17796114,,,,,,,,,,,,,,,
17781390,08 Ağustos 2025,08 Ağustos 2025,Konut,Kiralık,Daire,150 m²,160 m²,3+1,5-10,2.Kat,2,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,35.000TL,Balıkesir - Karesi - Toygar Mahallesi,https://www.emlakjet.com/ilan/cb-king-den-toygar-mah-de-kiralik-31-genis-ve-ferah-luks-daire-17781390,,,,,,,,,,,,10427,3,,
17790330,09 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,12.500TL,Balıkesir - Altıeylül - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/balikesir-bahcelievler-demirdag-emlaktan-esyali-kiralik-11-daire-17790330,İkinci El,Betonarme,2 m²,,,,,15 m²,1,2 m²,Evet,8578,87,12500 TL,
17778907,07 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,130 m²,140 m²,4+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Birim Fiyat,17.500TL,Balıkesir - Altıeylül - Yıldız Mahallesi,https://www.emlakjet.com/ilan/sahibinden-kiralik-daire-17778907,,,,Var,3,Açık Balkon,,,,,,7956,5,17500 TL,
17792331,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,70 m²,80 m²,1+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,21.000TL,Balıkesir - Edremit - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/edremit-pazartesi-pazarina-yakin-11-esyali-17792331,,,,,,,,,,,,810,21,,
17788474,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,36 m²,47 m²,1+1,2,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,19.000TL,Balıkesir - Altıeylül - Plevne Mahallesi,https://www.emlakjet.com/ilan/c21-loca-dan-plevnede-kiralik-balkon-teras-11-esyali-dubleks-17788474,,,,,,,,,,,,,,,
17767310,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,135 m²,170 m²,3+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,30.000TL,Balıkesir - Burhaniye - Kocacami Mahallesi,https://www.emlakjet.com/ilan/on-emlak-tan-burhaniye-kocacami-mah-okullar-bolgesi-kiralik-cift-terasli-31-dubleks-daire-17767310,,,,,,,,,,,,162,2,,
17765254,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,35 m²,40 m²,1+1,3,1.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,15.000TL,Balıkesir - Altıeylül - Gaziosmanpaşa Mahallesi,https://www.emlakjet.com/ilan/cb-king-den-gaziosmanpasa-da-adliye-arkasi-esyali-kiralik-11-17765254,,,,,,,,,,,,12895,27,,
17773583,06 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,125 m²,130 m²,3+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL,Balıkesir - Altıeylül - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/cadde-uzeri-31-genis-ve-havadar-kiralik-daire-17773583,İkinci El,Betonarme,,,,,,28 m²,2,,,8551,30,20000 TL,100 TL
17770497,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,126 m²,150 m²,3+1,11-15,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,24.000TL,Balıkesir - Altıeylül - 2. Gündoğan Mahallesi,https://www.emlakjet.com/ilan/balikesir-altieylul-2-gundogan-mahallesi-31-kiralik-daire-17770497,,,,,,,,,,,,,,,
17771761,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,95 m²,110 m²,3+1,11-15,3.Kat,4,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,18.500TL,Balıkesir - Karesi - Atatürk Mahallesi,https://www.emlakjet.com/ilan/elfi-den-52evler-karsisinda-arakat-asansorlu-kiralik-daire-17771761,,,,,,,,,,,,8276,2,,
17765406,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,45 m²,47 m²,1+1,0 (Yeni),3.Kat,3,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Balıkesir - Altıeylül - Dinkçiler Mahallesi,https://www.emlakjet.com/ilan/dinkciler-mah-nef-e-carsiya-yurume-mesafesinde-kiralik-daire-17765406,,,,,,,,,,,,,,,
17774976,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,11-15,2.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Balıkesir - Burhaniye - Ören Mahallesi,https://www.emlakjet.com/ilan/orende-universite-okula-yurume-mesafesi-migros-yani-denize-400mt-17774976,Sıfır,Betonarme,,,,,,,,,,,,,
17766974,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,11-15,6.Kat,15,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.000TL,Balıkesir - Karesi - Yeni Mahallesi,https://www.emlakjet.com/ilan/startkey-yonden-yeni-mahalle-tokide-kiralik-11-daire-17766974,İkinci El,,,,,,,,1,,,,,10000 TL,
17765409,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,1,2.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Balıkesir - Altıeylül - Gaziosmanpaşa Mahallesi,https://www.emlakjet.com/ilan/g-o-p-mah-sehir-hastanesi-yakini-arakat-yeni-esyali-11-daire-17765409,,,,,,,,,,,,,,,
17772380,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,100 m²,125 m²,2+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Kiracı Oturuyor,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,15.000TL,Balıkesir - Bandırma - Hacı Yusuf Mahallesi,https://www.emlakjet.com/ilan/bandirma-haci-yusuf-ta-full-esyali-carsi-merkez-de-kiralik-21-daire-17772380,,,,,,,,,,,,186,25,,
17766402,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,70 m²,80 m²,1+1,11-15,4.Kat,4,Kombi Doğalgaz,Boş,,Müstakil Tapulu,Hayır,,1,Genel Fiyat,21.000TL,Balıkesir - Edremit - Hamidiye Mahallesi,https://www.emlakjet.com/ilan/akman-dan-hamidiye-mahallesin-de-kiralik-11-daire-17766402,,,,,,,,,,,,964,20,,
17772576,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,50 m²,62 m²,1+1,5-10,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,20.000TL,Balıkesir - Edremit - İkizçay Mahallesi,https://www.emlakjet.com/ilan/akcay-da-11-kiralik-daire-17772576,,,,,,,,,,,,,,,
17774952,07 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.500TL,Balıkesir - Altıeylül - Gaziosmanpaşa Mahallesi,https://www.emlakjet.com/ilan/cb-king-den-gaziosmanpasa-mah-de-kiralik-esyali-11-daire-17774952,,,,,,,,,,,,8097,6,,
17765683,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,90 m²,110 m²,3+1,3,4.Kat,4,Klimalı,Mülk Sahibi Oturuyor,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,35.000TL,Balıkesir - Ayvalık - Küçükköy Mahallesi,https://www.emlakjet.com/ilan/evre-emlaktan-havuzlu-ve-asansorlu-sitede-31-kiralik-daire-17765683,İkinci El,Betonarme,,Var,2,"Açık Balkon, Kapalı Balkon",,,2,,Evet,213,1,35000 TL,
17765599,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,25.000TL,Balıkesir - Altıeylül - Gaziosmanpaşa Mahallesi,https://www.emlakjet.com/ilan/rw-liva-dan-g-o-p-da-21-dublex-esyali-kiralik-daire-17765599,,,,,,,,,,,,,,,
17774635,07 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,11-15,2.Kat,5,Klimalı,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,20.000TL,Balıkesir - Ayvalık - Küçükköy Mahallesi,https://www.emlakjet.com/ilan/s-s-emlakdan-sarimsakli-da-12-ay-kiralik-11-esyasiz-daire-17774635,,,,,,,,,,,,186,457,20000 TL,
17765411,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.250TL,Balıkesir - Altıeylül - Plevne Mahallesi,https://www.emlakjet.com/ilan/plevne-mah-beyoglu-cad-uzeri-genis-11-kiralik-daire-17765411,,,,,,,,,,,,,,,
17766984,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+1,3,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.500TL,Balıkesir - Altıeylül - Gümüsçesme Mahallesi,https://www.emlakjet.com/ilan/startkey-yonden-cumhuriyet-ilkokulu-yaninda-kiralik-21-17766984,İkinci El,,,,,,,,1,,,,,14500 TL,
17775348,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Balıkesir - Bandırma - Paşabayır Mahallesi,https://www.emlakjet.com/ilan/ordu-caddesinde-esyali-kiralik-daire-17775348,,,,,,,,,,,,,,,
17765408,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,1,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Balıkesir - Altıeylül - Gaziosmanpaşa Mahallesi,https://www.emlakjet.com/ilan/adliye-arkasi-kiralik-11-daire-17765408,,,,,,,,,,,,,,,
17773779,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.000TL,Balıkesir - Bandırma - 17 Eylül Mahallesi,https://www.emlakjet.com/ilan/asgo-dan-17-eylul-belediye-yakini-21-kiralik-daire-17773779,,,,,,,,,,,,,,,
17765543,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.500TL,Balıkesir - Bandırma - Paşakonak Mahallesi,https://www.emlakjet.com/ilan/stm-emlaktan-pasakonak-mahallesinde-kiralik-21-ara-kat-daire-17765543,,,,,,,,,,,,,,,
17773122,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,,Arsa Tapulu,Hayır,,1,Genel Fiyat,18.000TL,Balıkesir - Bandırma - 17 Eylül Mahallesi,https://www.emlakjet.com/ilan/3-1-kiralik-ev-17773122,,,,,,,,,,,,1244,36,,
17770507,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Balıkesir - Altıeylül - Gaziosmanpaşa Mahallesi,https://www.emlakjet.com/ilan/balikesir-g-o-p-mah-mukemmel-konum-full-esyali-kiralik-11-17770507,,,,,,,,,,,,,,,
17769840,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,11-15,1.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Balıkesir - Burhaniye - Ören Mahallesi,https://www.emlakjet.com/ilan/orende-universite-okula-yurume-mesafesi-migros-yani-denize-400mt-17769840,İkinci El,Betonarme,,Var,2,Açık Balkon,,,1,,Evet,525,5,30000 TL,
17765216,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,150 m²,180 m²,4+1,5-10,3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,3,Genel Fiyat,28.000TL,Balıkesir - Edremit - İkizçay Mahallesi,https://www.emlakjet.com/ilan/boyut-tan-akcay-ikizcay-mah-41-kat-dubleks-asansorlu-17765216,,,,,,,,,,,,,,,
17765177,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,0 (Yeni),3.Kat,4,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Balıkesir - Altıeylül - Plevne Mahallesi,https://www.emlakjet.com/ilan/plevne-mahallesinde-migros-yani-kiralik-11-daire-17765177,,,,,,,,,,,,,,,
17765232,05 Ağustos 2025,05 Ağustos 2025,Konut,Kiralık,Daire,130 m²,150 m²,3+1,11-15,3.Kat,5,Jeotermal,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,32.000TL,Balıkesir - Edremit - Soğanyemez Mahallesi,https://www.emlakjet.com/ilan/boyut-tan-edremit-merkezinde-esyali-kiralik-31-luks-daire-17765232,,,,,,,,,,,,,,,
