İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Yapı Durumu,Yapı Tipi,Aidat,Depozito,Ada,Parsel,Balkon Durumu,Balkon Sayısı,WC Sayısı,Görüntülü Gezilebilir mi?,Balkon Tipi,Balkon Metrekare,Banyo Metrekare,Salon Metrekare,WC Metrekare
17592630,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,2,3.Kat,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,19.000TL,Muğla - Dalaman - Söğütlüyurt Mahallesi,https://www.emlakjet.com/ilan/airport-emlaktan-esyali-havuzlu-sitede-11-kiralik-daire-17592630,,,,,,,,,,,,,,,
17596461,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,70 m²,150 m²,2+1,16-20,Bahçe Katı,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,80.000TL,Muğla - Bodrum - Dirmil Mahallesi,https://www.emlakjet.com/ilan/bodrum-yalikavak-dirmil-gurnaz-evleri-21-esyali-havuzlu-kiralik-17596461,,,,,,,,,,,,,,,
17596057,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,2.Kat,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,27.000TL,Muğla - Fethiye - Karaçulha Mahallesi,https://www.emlakjet.com/ilan/fethiye-cevreyolu-uzerinde-21-full-esyali-kiralik-daire-17596057,,,,,,,,,,,,,,,
17588777,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,3+1,5-10,1.Kat,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Muğla - Fethiye - Pazaryeri Mahallesi,https://www.emlakjet.com/ilan/pazaryeri-mah-ara-kat-esyali-kiralik-daire-17588777,,,,,,,,,,,,,,,
17596295,04 Temmuz 2025,22 Ağustos 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,16-20,2.Kat,2,Klimalı,Boş,Boş,Hisseli Tapu,Hayır,,1,Genel Fiyat,15.000TL,Muğla - Dalaman - Karaçalı Mahallesi,https://www.emlakjet.com/ilan/karacali-mahallesi-kiralik21-17596295,İkinci El,Betonarme,,15000 TL,187,3,Var,,1,,,,,,
17578525,02 Temmuz 2025,02 Temmuz 2025,Konut,Kiralık,Daire,105 m²,115 m²,3+1,0 (Yeni),3.Kat,5,Kombi Doğalgaz,Boş,Boş,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,28.000TL,Muğla - Menteşe - Akçaova Mahallesi,https://www.emlakjet.com/ilan/akcaova-tokide-arakat-on-cephe-31-kiralik-daire-17578525,,,,,,,,,,,,,,,
17588519,03 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,120 m²,140 m²,3+1,16-20,2.Kat,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,42.000TL,Muğla - Fethiye - Tuzla Mahallesi,https://www.emlakjet.com/ilan/tuzla-mahallesinde-esnaf-hastanesine-yakin-31-kiralik-daire-17588519,,,,,,,,,,,,,,,
17571855,01 Temmuz 2025,01 Temmuz 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,11-15,1.Kat,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,70.000TL,Muğla - Bodrum - Gümbet Mahallesi,https://www.emlakjet.com/ilan/meyve-bahcesi-icinde-denize-yakin-daire-17571855,,,,,,,,,,,,,,,
17588076,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,16-20,Yüksek Giriş,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,35.000TL,Muğla - Fethiye - Foça Mahallesi,https://www.emlakjet.com/ilan/fethiye-gayrimenkul-calis-sahile-yakin-esyali-21-kiralik-17588076,,,,,,,,,,,,,,,
17574959,01 Temmuz 2025,01 Temmuz 2025,Konut,Kiralık,Daire,130 m²,160 m²,3+1,4,Kot 1 (-1).Kat,4,Kat Kaloriferi,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,23.000TL,Muğla - Milas - Hacı İlyas Mahallesi,https://www.emlakjet.com/ilan/kiralik-daire-17574959,,,,,,,,,,,,,,,
17576792,02 Temmuz 2025,02 Temmuz 2025,Konut,Kiralık,Daire,115 m²,135 m²,3+1,11-15,2.Kat,3,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Muğla - Fethiye - Patlangıç Mahallesi,https://www.emlakjet.com/ilan/tasyaka-da-ara-kat-esyasiz-31-kiralik-daire-17576792,,,,,,,,,,,,,,,
17573026,01 Temmuz 2025,01 Temmuz 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,21 Ve Üzeri,2.Kat,2,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Muğla - Menteşe - Şeyh Mahallesi,https://www.emlakjet.com/ilan/mugla-merkez-de-uygun-fiyatli-kiralik-daire-21-17573026,,,,,,,,,,,,,,,
17578519,02 Temmuz 2025,02 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,0 (Yeni),Müstakil,2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,3,Genel Fiyat,50.000TL,Muğla - Menteşe - Düğerek Mahallesi,https://www.emlakjet.com/ilan/dugerekte-tam-mustakil-51-dubleks-konut-17578519,,,,,,,,,,,,,,,
17584728,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,75 m²,80 m²,3+0,11-15,3.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,25.000TL,Muğla - Menteşe - Kötekli Mahallesi,https://www.emlakjet.com/ilan/mugla-kotekli-mah-esyasiz-30-kiralik-daire-17584728,,,,,116,6,,,,,,,,,
17574715,01 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,82 m²,98 m²,3+1,11-15,Bahçe Katı,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,40.000TL,Muğla - Bodrum - Kumbahçe Mahallesi,https://www.emlakjet.com/ilan/kumbahcede-kiralik-bahcekati-daire-merkeze-yakin-denize-yakin-ev-17574715,İkinci El,Betonarme,,40000 TL,664,13,,,1,Hayır,,,,,
17581824,02 Temmuz 2025,22 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+1,5-10,2.Kat,3,Klimalı,Boş,,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,22.000TL,Muğla - Marmaris - Orhaniye Mahallesi,https://www.emlakjet.com/ilan/orhaniye-de-arakat-21-balkonlu-daire-kiralik-17581824,,,1 TL,22000 TL,,,,,,,,,,,
17578047,02 Temmuz 2025,02 Temmuz 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,11-15,Bahçe Katı,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,26.000TL,Muğla - Milas - Boğaziçi Mahallesi,https://www.emlakjet.com/ilan/adabuku-turkuaz-sitesinde-kiralik-21-bahce-kati-daire-17578047,,,,,,,,,,,,,,,
17582777,02 Temmuz 2025,17 Temmuz 2025,Konut,Kiralık,Daire,80 m²,90 m²,3+1,16-20,Bahçe Katı,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,45.000TL,Muğla - Bodrum - Akyarlar Mahallesi,https://www.emlakjet.com/ilan/meteor-sitesinde-deniz-manzarali-yenilenmis-bahce-kati-31-daire-17582777,,Betonarme,,45000 TL,283,7,Var,1,1,,Açık Balkon,,,,
17572574,01 Temmuz 2025,05 Ağustos 2025,Konut,Kiralık,Daire,55 m²,60 m²,2+1,11-15,2.Kat,4,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,22.000TL,Muğla - Menteşe - Kötekli Mahallesi,https://www.emlakjet.com/ilan/mugla-kotekli-de-esyali-21-kiralik-daire-17572574,,,,,120,4,,,,,,,,,
17588773,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,11-15,Bahçe Katı,1,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Muğla - Fethiye - Çatalarık Mahallesi,https://www.emlakjet.com/ilan/catalarik-mah-mustakil-bahce-icinde-kiralik-ev-17588773,,,,,,,,,,,,,,,
17583785,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,0 (Yeni),1.Kat,2,Klimalı,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,18.000TL,Muğla - Milas - Beçin Mahallesi,https://www.emlakjet.com/ilan/yildirim-muhendislik-ten-kiralik-75-m2-11-sifir-daire-17583785,,,,,,,,,,,,,,,
17580350,02 Temmuz 2025,02 Temmuz 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,16-20,2.Kat,3,Klimalı,Boş,Eşyalı,Yabancıdan,Evet,,2,Genel Fiyat,50.000TL,Muğla - Marmaris - Armutalan Mahallesi,https://www.emlakjet.com/ilan/camiavlu-kiralik-31-esyali-daire-17580350,İkinci El,,,,,,Var,1,1,Hayır,Kapalı Balkon,,,,
17587376,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,110 m²,115 m²,2+1,1,2.Kat,3,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,25.000TL,Muğla - Fethiye - Çatalarık Mahallesi,https://www.emlakjet.com/ilan/ilkon-dan-catalarik-ta-ana-cadde-ustu-kiralik-21-cati-dubleks-17587376,,,,,,,,,,,,,,,
17576906,02 Temmuz 2025,22 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,0 (Yeni),1.Kat,5,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Muğla - Dalaman - Merkez Mahallesi,https://www.emlakjet.com/ilan/dalaman-ataturk-cad-bos-kiralik-sifir-11-daire-17576906,,,,,3584,21,,,,,,,,,
17574982,01 Temmuz 2025,01 Temmuz 2025,Konut,Kiralık,Daire,72 m²,80 m²,2+1,16-20,Bahçe Katı,3,Isıtma Yok,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Muğla - Bodrum - Akçaalan Mahallesi,https://www.emlakjet.com/ilan/turgutreis-alt-karabag-da-kiralik-bahce-kat-21-17574982,,,,,,,,,,,,,,,
17586650,03 Temmuz 2025,12 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,0 (Yeni),2.Kat,3,Klimalı,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,14.000TL,Muğla - Ortaca - Beşköprü Mahallesi,https://www.emlakjet.com/ilan/ortaca-da-11-2-kat-sifir-daire-kiralik-17586650,,,,,316,13,,,,,,,,,
17578951,02 Temmuz 2025,13 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1 Oda,11-15,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,17.500TL,Muğla - Menteşe - Kötekli Mahallesi,https://www.emlakjet.com/ilan/mugla-kotekli-de-esyali-11-kiralik-daire-17578951,,,,,,1071,,,,,,,,,
17579690,02 Temmuz 2025,02 Temmuz 2025,Konut,Kiralık,Daire,75 m²,100 m²,1+1,0 (Yeni),Çatı Katı,2,Isıtma Yok,Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,50.000TL,Muğla - Bodrum - Farilya Mahallesi,https://www.emlakjet.com/ilan/bodrum-turkbuku-deniz-manzarali-senelik-kiralik-sifir-daire-17579690,Sıfır,Betonarme,1 TL,,,,,,,,,,,,
17588646,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+2,4,Müstakil,3,VRV,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,3,Genel Fiyat,880.000TL,Muğla - Bodrum - Dirmil Mahallesi,https://www.emlakjet.com/ilan/yalikavak-tiklicik-d-plaj-residence-31-terasli-full-manzara-17588646,,,,,,,,,,,,,,,
17583148,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,42 m²,50 m²,1+1,3,2.Kat,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Muğla - Dalaman - Karaçalı Mahallesi,https://www.emlakjet.com/ilan/karacalida-esyali-asansonrlu-kiralik-arakat-11daire-17583148,,,,,,,,,,,,,,,
17581208,02 Temmuz 2025,02 Temmuz 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,16-20,4.Kat,4,Klimalı,Boş,Eşyalı,Hisseli Tapu,Hayır,Yok,1,Genel Fiyat,130.000TL,Muğla - Marmaris - Çıldır Mahallesi,https://www.emlakjet.com/ilan/deniz-manzarali-merkezde-kisa-donem-esyali-kiralik-21-17581208,,,,,,,,,,,,,,,
17570344,01 Temmuz 2025,01 Temmuz 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+1,0 (Yeni),Bahçe Katı,2,Klimalı,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,3,Genel Fiyat,150.000TL,Muğla - Bodrum - Türkbükü Mahallesi,https://www.emlakjet.com/ilan/turbuku-nde-deniz-manzarali-ve-denize-yurume-mesafesinde-17570344,,,,,,,,,,,,,,,
17587347,03 Temmuz 2025,19 Ağustos 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,11-15,1.Kat,4,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Muğla - Marmaris - Çamdibi Mahallesi,https://www.emlakjet.com/ilan/vefa-gayrimenkul-den-denize-sifir-esyali-kiralik-11-daire-17587347,İkinci El,,1350 TL,30000 TL,,,,,1,,,,,,
17586905,03 Temmuz 2025,21 Ağustos 2025,Konut,Kiralık,Daire,160 m²,180 m²,3+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,35.000TL,Muğla - Menteşe - Emirbeyazıt Mahallesi,https://www.emlakjet.com/ilan/mugla-emirbeyazit-mah-esyasiz-31-kiralik-daire-17586905,,,,,582,161,,,,,,,,,
17579580,02 Temmuz 2025,01 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,16-20,2.Kat,3,Isıtma Yok,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,26.000TL,Muğla - Fethiye - Tuzla Mahallesi,https://www.emlakjet.com/ilan/fethiye-gayrimenkul-tuzla-mh-akay-sitesinde-31-kiralik-daire-17579580,,,,,1936,1,,,,,,,,,
17553764,27 Haziran 2025,01 Temmuz 2025,Konut,Kiralık,Daire,54 m²,64 m²,2+1,1,3.Kat,3,Kombi Doğalgaz,Kiracı Oturuyor,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,28.000TL,Muğla - Menteşe - Emirbeyazıt Mahallesi,https://www.emlakjet.com/ilan/dunyam-rezidansta-kose-konumda-kiralik-ofis-daire-21-17553764,,,,,,,,,,,,,,,
17570292,01 Temmuz 2025,06 Temmuz 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,11-15,2.Kat,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,80.000TL,Muğla - Bodrum - Geriş Mahallesi,https://www.emlakjet.com/ilan/bodrum-yalikavak-ta-havuzlu-sitede-donemsel-kiralik-daire-17570292,,,,,183,59,,,,,,,,,
