İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Depozito,Balkon Durumu,Ada,Parsel,Balkon Sayısı,WC Sayısı,Yapı Durumu,Yapı Tipi,Aidat,Balkon Tipi,Görüntülü Gezilebilir mi?,Balkon Metrekare,Banyo Metrekare,Salon Metrekare,WC Metrekare
17507031,18 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,100 m²,130 m²,3+1,21 Ve Üzeri,3.Kat,7,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.000TL,Samsun - İlkadım - Zafer Mahallesi,https://www.emlakjet.com/ilan/cb-park-serkan-ozlu-den-kiralik-dubleks-daire-17507031,,,,,,,,,,,,,,,
17520614,21 Haziran 2025,10 Temmuz 2025,Konut,Kiralık,Daire,110 m²,180 m²,3+1,16-20,2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Samsun - Canik - Karşıyaka Mahallesi,https://www.emlakjet.com/ilan/bilgili-gayrimenkul-danismanlik-dan-kiralik-31daire-110m2-kat-3-17520614,,,,,,,İkinci El,Betonarme,150 TL,,,,,,
17519040,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - İlkadım - 19 Mayıs Mahallesi,https://www.emlakjet.com/ilan/samsun-ciftlik-caddesine-yakin-merkezi-konumda-31-kiralik-17519040,,,,,,,,,,,,,,,
17507047,18 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),6.Kat,6,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/cb-park-ozlem-den-yenimahalle-de-sifir-kiralik-11-daire-17507047,,,,,,,,,,,,,,,
17504016,18 Haziran 2025,22 Temmuz 2025,Konut,Kiralık,Daire,40 m²,55 m²,1+1,0 (Yeni),1.Kat,3,Yerden Isıtma,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,13.000TL,Samsun - Atakum - Beypınar Mahallesi,https://www.emlakjet.com/ilan/sahibinden-merkezi-konumda-ofis-ve-konut-kullanimina-uygun-11-daire-17504016,12000 TL,Var,11295,1,1,,Sıfır,,0 TL,Açık Balkon,,,,,
17503469,18 Haziran 2025,24 Haziran 2025,Konut,Kiralık,Daire,45 m²,60 m²,1+1,2,Yüksek Giriş,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,9.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/kauf-tan-kiralik-daire-17503469,,,,,,,,,,,,,,,
17519042,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL,Samsun - Canik - Karşıyaka Mahallesi,https://www.emlakjet.com/ilan/canik-te-sehir-ve-deniz-manzarali-yerden-isitmali-31-kiralik-17519042,,,,,,,,,,,,,,,
17512758,19 Haziran 2025,26 Temmuz 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - İlkadım - Pazar Mahallesi,https://www.emlakjet.com/ilan/ilkadim-unkapani-mahallesinde-kiralik-daire-17512758,,Var,6192,19,1,1,İkinci El,,,Açık Balkon,,,,,
17512820,19 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,21 Ve Üzeri,2.Kat,3,Sobalı,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,6.500TL,Samsun - İlkadım - Kılıçdede Mahallesi,https://www.emlakjet.com/ilan/ilkadim-istasyon-mahallesinde-kiralik-daire-17512820,,Var,7897,6,1,1,İkinci El,Betonarme,,,,,,,
17519066,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,37 m²,42 m²,1+1,0 (Yeni),4.Kat,4,Isıtma Yok,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.000TL,Samsun - İlkadım - Ulugazi Mahallesi,https://www.emlakjet.com/ilan/samsun-ilkadimdereli-plazada-kiralik-11-17519066,,,,,,,,,,,,,,,
17507591,18 Haziran 2025,18 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),3.Kat,3,Yerden Isıtma,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,14.900TL,Samsun - Atakum - Alanlı Mahallesi,https://www.emlakjet.com/ilan/truva-dan-19-mayis-bulvari-file-market-yani-esyali-kiralik-sifir11-daire-17507591,,,6373,11,,,,,,,,,,,
17519796,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,16-20,Düz Giriş (Zemin),2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.500TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/master-brokers-esyali-kiralik-21-daire-17519796,,,,,,,,,,,,,,,
17503740,18 Haziran 2025,25 Haziran 2025,Konut,Kiralık,Daire,140 m²,150 m²,4+1,21 Ve Üzeri,9.Kat,9,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Samsun - İlkadım - Liman Mahallesi,https://www.emlakjet.com/ilan/genclik-parkina-cephe-41-kiralik-daire-17503740,,,,,,,,,,,,,,,
17511422,19 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,Kooperatiften Tapu,Hayır,,1,Genel Fiyat,15.000TL,Samsun - İlkadım - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievler-de-125-m2-31-dogalgazli-balkonlu-kiralik-daire-17511422,,,,,,,,,,,,,,,
17507459,18 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,35 m²,45 m²,1+1,0 (Yeni),1.Kat,6,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,9.000TL,Samsun - Atakum - Büyükoyumca Mahallesi,https://www.emlakjet.com/ilan/kiralik-11-daire-deniz-manzarali-atakum-korfdezde-17507459,,,,,,,,,,,,,,,
17507045,18 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,11-15,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Samsun - Atakum - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/cb-park-ozlem-den-tramvaya-cephe-kiralik-31-daire-17507045,,,,,,,,,,,,,,,
17508230,19 Haziran 2025,16 Temmuz 2025,Konut,Kiralık,Daire,120 m²,140 m²,3+1,11-15,Kot 2 (-2).Kat,8,Kombi Doğalgaz,Boş,Boş,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,10.000TL,Samsun - İlkadım - Adalet Mahallesi,https://www.emlakjet.com/ilan/avantaj-gayrimenkulden-kiralik-31-daire-cadde-ustunde-17508230,9500 TL,Yok,,,,1,İkinci El,Betonarme,150 TL,,Hayır,,,,
17519021,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,10.Kat,10,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Samsun - Atakum - Alanlı Mahallesi,https://www.emlakjet.com/ilan/panoramik-deniz-manzarali-full-esyali-11-daire-17519021,,,,,,,,,,,,,,,
17475809,12 Haziran 2025,12 Haziran 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,5.Kat,7,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,19.000TL,Samsun - İlkadım - Adalet Mahallesi,https://www.emlakjet.com/ilan/samsun-adalet-mahallesinde-31-daire-kiralik-17475809,,,1142,9,,,,,,,,,,,
17485752,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,1.Kat,11,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,14.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/atakent-ali-gaffar-okanda-11-esyali-kiralik-17485752,,,,,,,,,,,,,,,
17479028,13 Haziran 2025,13 Haziran 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,21 Ve Üzeri,Bahçe Katı,6,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,,1,Genel Fiyat,13.000TL,Samsun - Canik - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/canik-belediyeevlerinde-yola-cephe-kiralik-21-17479028,13000 TL,Var,13670,3,1,,,,,,,,,,
17500873,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,11.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/korfez-pamuklu-bulvari-11-esyasiz-17500873,,,,,,,,,,,,,,,
17485761,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,160 m²,190 m²,4+1,5-10,3.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,38.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/atakum-da-tramvayin-altinda-denize-sadece-300-metre-kiralik-41-17485761,,,,,,,,,,,,,,,
17485763,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,120 m²,145 m²,3+1,11-15,6.Kat,7,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.500TL,Samsun - İlkadım - Fevzi Çakmak Mahallesi,https://www.emlakjet.com/ilan/kiralik-31-ilkadim-zaman-hali-arkasinda-merkezi-konumda-17485763,,,,,,,,,,,,,,,
17485750,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,0 (Yeni),3.Kat,5,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,10.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/korfez-tramvay-duragina-yakin-esyasiz-kiralik-11-daire-17485750,,,,,,,,,,,,,,,
17451548,04 Haziran 2025,17 Temmuz 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,1,Genel Fiyat,10.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/atakum-pamuklu-bulvarinda-genis-11-kiralik-daire-17451548,,Var,5147,9,1,,,,,Açık Balkon,,,,,
17500879,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,3,6.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.500TL,Samsun - Atakum - Yeşildere Mahallesi,https://www.emlakjet.com/ilan/karayollari-tramvayduragina450m-denizmanzarali-21alacamcad-yani-17500879,,,,,,,,,,,,,,,
17500659,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,21 Ve Üzeri,5.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.500TL,Samsun - İlkadım - Cedit Mahallesi,https://www.emlakjet.com/ilan/hisar-dan-ceditte-21-tertemiz-bakimli-full-deniz-manz-kiralik-17500659,,,,,,,,,,,,,,,
17485753,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,4,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,26.000TL,Samsun - Atakum - Küçükkolpınar Mahallesi,https://www.emlakjet.com/ilan/doga-koleji-karsisi-full-deniz-manzarali-kiralik-luks-31-daire-17485753,,,,,,,,,,,,,,,
17482944,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),1.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Samsun - Çarşamba - Yeşilırmak Mahallesi,https://www.emlakjet.com/ilan/kasdal-gayrimenkulden-kiralik-11-sifir-esyali-daire-17482944,,,,,,,,,,,,,,,
17474927,12 Haziran 2025,29 Temmuz 2025,Konut,Kiralık,Daire,90 m²,114 m²,2+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - Canik - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/canikte-merkezi-konumda-kiralik-21-daire-17474927,12000 TL,Var,13676,21,2,1,İkinci El,Betonarme,120 TL,Açık Balkon,Hayır,,,,
17500880,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,48 m²,52 m²,1+1,0 (Yeni),1.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.500TL,Samsun - Atakum - Küçükkolpınar Mahallesi,https://www.emlakjet.com/ilan/alacam-cd-altinda-balkonlu-11-arakat-17500880,,,,,,,,,,,,,,,
17467811,11 Haziran 2025,22 Temmuz 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,0 (Yeni),3.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL,Samsun - İlkadım - Kalkancı Mahallesi,https://www.emlakjet.com/ilan/evim-nur-dan-kalkanci-mh-21-sifir-kiralik-daire-17467811,20000 TL,Var,2456,11,1,,,,,,,,,,
17464340,10 Haziran 2025,30 Temmuz 2025,Konut,Kiralık,Daire,125 m²,135 m²,3+1,16-20,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,,1,Birim Fiyat,13.000TL,Samsun - Çarşamba - Sungurlu Mahallesi,https://www.emlakjet.com/ilan/kiralik-daire-17464340,,Var,41,77,2,1,İkinci El,Betonarme,,Açık Balkon,Evet,10 m²,,,
17455979,05 Haziran 2025,10 Temmuz 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,5-10,Çatı Katı,5,Kombi Doğalgaz,Boş,,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,9.000TL,Samsun - Canik - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/bilgili-gayrimenkul-danismanlik-dan-kiralik-100m2-daire-5-kat-21-17455979,,,,,,,İkinci El,Betonarme,50 TL,,,,,,
17443816,03 Haziran 2025,26 Haziran 2025,Konut,Kiralık,Daire,100 m²,105 m²,2+1,21 Ve Üzeri,9.Kat,10,Kombi Doğalgaz,Boş,,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,13.000TL,Samsun - İlkadım - Liman Mahallesi,https://www.emlakjet.com/ilan/bulvara-cephe-kiralik-21-genclik-parkinda-17443816,,,,,,,İkinci El,Betonarme,200 TL,,,,,,
17485764,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,52 m²,62 m²,1+1,2,4.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/remax-yunus-tekin-den-korfez-de-kiralik-esyali-11-daire-17485764,,,,,,,,,,,,,,,
17493811,16 Haziran 2025,16 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,5-10,3.Kat,7,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.500TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/remax-sabri-irkli-dan-kiralik-esyali-11-17493811,,,277,12,,,,,,,,,,,
17442875,02 Haziran 2025,02 Haziran 2025,Konut,Kiralık,Daire,165 m²,200 m²,4+1,0 (Yeni),4.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,35.000TL,Samsun - Atakum - Beypınar Mahallesi,https://www.emlakjet.com/ilan/deka-gayrimenkul-den-ted-koleji-yani-kiralik-sifir-41-daireler-17442875,,,,,,,,,,,,,,,
17503438,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,222 m²,265 m²,3+1,3,2.Kat,4,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,3,Genel Fiyat,110.000TL,Samsun - Atakum - Mimarsinan Mahallesi,https://www.emlakjet.com/ilan/kauf-atakum-sahilde-ultra-luks-kiralik-daire-17503438,,,,,,,,,,,,,,,
17449858,04 Haziran 2025,04 Haziran 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,16-20,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,,1,Genel Fiyat,13.000TL,Samsun - Bafra - Gazipaşa Mahallesi,https://www.emlakjet.com/ilan/a-y-s-gayrimenkul-dan-31-kiralik-daire-17449858,,Var,64,17,2,2,İkinci El,,,Kapalı Balkon,Evet,,,,
17501150,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,126 m²,146 m²,3+1,21 Ve Üzeri,1.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - Ladik - Bahşi Mahallesi,https://www.emlakjet.com/ilan/ladik-otogarina-cephe-kiralik-31-daire-17501150,,,,,,,,,,,,,,,
17480932,13 Haziran 2025,24 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,Boş,Kooperatiften Tapu,Hayır,Yok,1,Genel Fiyat,11.000TL,Samsun - İlkadım - Kadıköy Mahallesi,https://www.emlakjet.com/ilan/samsun-ilkadim-kadikoy-mahallesinde-ici-yapili-21-kiralik-daire-17480932,13000 TL,Var,,,,2,İkinci El,Betonarme,,,Evet,,,,
17485754,14 Haziran 2025,14 Haziran 2025,Konut,Kiralık,Daire,60 m²,72 m²,1+1,5-10,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,19.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/korfez-marinada-esyali-kiralik-11-daire-denize-50-m-17485754,,,,,,,,,,,,,,,
17443817,03 Haziran 2025,25 Haziran 2025,Konut,Kiralık,Daire,100 m²,105 m²,2+1,21 Ve Üzeri,6.Kat,6,Kombi Doğalgaz,Boş,,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,13.000TL,Samsun - İlkadım - Liman Mahallesi,https://www.emlakjet.com/ilan/panaromik-deniz-manzarali-21-terasli-kiralik-17443817,,,,,,,İkinci El,Betonarme,10 TL,,,,,,
17475309,12 Haziran 2025,22 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kooperatiften Tapu,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - İlkadım - Kadıköy Mahallesi,https://www.emlakjet.com/ilan/rekoor-emlak-tan-kadikoy-mh-21-kiralik-daire-17475309,11000 TL,Var,,,1,2,,,,,,,,,
17486498,15 Haziran 2025,15 Haziran 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,4,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,10.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/tozlu-emlak-tan-atakumda-ulasima-yakin-kiralik-11-daire-17486498,,,,,,,,,,,,,,,
17450571,04 Haziran 2025,04 Haziran 2025,Konut,Kiralık,Daire,115 m²,120 m²,3+1,21 Ve Üzeri,4.Kat,10,Kombi Doğalgaz,Boş,,Kooperatiften Tapu,Hayır,,1,Genel Fiyat,18.000TL,Samsun - İlkadım - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievler-de-dsi-yakini-31-asansorlu-ara-kat-dogalgazli-balkonlu-daire-17450571,,,,,,,,,,,,,,,
17432903,31 Mayıs 2025,25 Haziran 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,2,1.Kat,5,Kombi Doğalgaz,Boş,,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,20.000TL,Samsun - Atakum - Esenevler Mahallesi,https://www.emlakjet.com/ilan/denizevleri-tramvaya-cep-11-luks-konsept-kiralik-isyeri-17432903,,,,,,,İkinci El,Betonarme,400 TL,,,,,,
