İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Aidat,Depozito,Balkon Durumu,Balkon Sayısı,Ada,Parsel,Yapı Durumu,Yapı Tipi,Balkon Tipi,Banyo Metrekare,Salon Metrekare,WC Sayısı,WC Metrekare,Balkon Metrekare,Görüntülü Gezilebilir mi?
17898232,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,45 m²,46 m²,1+1,5-10,2.Kat,6,Kombi Doğalgaz,Kiracı Oturuyor,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,34.000TL,İstanbul - Ataşehir - İnönü Mahallesi,https://www.emlakjet.com/ilan/lidya-gayrimenkul-otoparkli-esyali-balkonlu-ara-kat-11-17898232,,,,,,,,,,,,,,,
17898394,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,95 m²,155 m²,2+1,3,8.Kat,18,Merkezi (Pay Ölçer),Boş,Eşyalı,Yabancıdan,Hayır,Yok,2,Genel Fiyat,75.000TL,İstanbul - Sarıyer - Huzur Mahallesi,https://www.emlakjet.com/ilan/avangart-istanbul-da-21-esyali-tasinmaya-hazir-17898394,,,,,,,İkinci El,Çelik,,,,,,,
17898416,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,0 (Yeni),Bahçe Katı,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,33.000TL,İstanbul - Fatih - Yedikule Mahallesi,https://www.emlakjet.com/ilan/ecem-emlaktan-yedikulede-bahceli-ters-dubleks-17898416,,,,,,,,,,,,,,,
17898365,17 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,95 m²,105 m²,2+1,0 (Yeni),3.Kat,10,Merkezi (Pay Ölçer),Boş,Boş,Tapu Kaydı Yok,Evet,Yok,1,Genel Fiyat,35.000TL,İstanbul - Gaziosmanpaşa - Bağlarbaşı Mahallesi,https://www.emlakjet.com/ilan/remax-lavanda-dan-toki-7a-baglarbasi-kiralik-21-daire-17898365,,,,,,,,,,,,,,,
17898491,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,110 m²,117 m²,2+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,36.000TL,İstanbul - Küçükçekmece - İnönü Mahallesi,https://www.emlakjet.com/ilan/maslak-cesme-caddesi-uzerinde-kiralik-daire-balkonlu-arakat-17898491,,,,,,,,,,,,,,,
17897992,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,33 m²,49 m²,1+1,5-10,4.Kat,17,Merkezi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,33.000TL,İstanbul - Zeytinburnu - Maltepe Mahallesi,https://www.emlakjet.com/ilan/satis-ve-kiralama-ofisinden-kiralik-11-daire-17897992,,,,,,,,,,,,,,,
17898261,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,180 m²,220 m²,4+2,5-10,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,55.000TL,İstanbul - Çekmeköy - Merkez Mahallesi,https://www.emlakjet.com/ilan/cekmekoy-belediyesi-5-dk-mesafede-kiralik-42-orman-cephe-daire-17898261,,,,,,,,,,,,,,,
17898400,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,134 m²,198 m²,3+1,4,9.Kat,12,Merkezi (Pay Ölçer),Boş,Eşyalı,Yabancıdan,Hayır,Yok,2,Genel Fiyat,120.000TL,İstanbul - Sarıyer - Huzur Mahallesi,https://www.emlakjet.com/ilan/avangart-istanbul-da-luks-ve-genislik-31-esyali-daire-17898400,,,,,,,İkinci El,Betonarme,,,,,,,
17898526,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,83 m²,105 m²,2+1,5-10,3.Kat,8,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,45.000TL,İstanbul - Başakşehir - Kayabaşı Mahallesi,https://www.emlakjet.com/ilan/emlak-konut-basaksehir-evleri-21-kiralik-daire-tadilatli-17898526,,,,,,,,,,,,,,,
17898041,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,129 m²,160 m²,3+1,0 (Yeni),Bahçe Katı,4,Kombi Doğalgaz,Boş,Boş,Tapu Kaydı Yok,Hayır,Yok,2,Genel Fiyat,60.000TL,İstanbul - Üsküdar - Kirazlıtepe Mahallesi,https://www.emlakjet.com/ilan/ashill-den-toki-kirazlitepe-bahceli-cift-banyolu-31-17898041,,,,,,,,,,,,,,,
17898320,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,25.000TL,İstanbul - Eyüpsultan - İslambey Mahallesi,https://www.emlakjet.com/ilan/eyup-islamveyde-kiralik-ful-esyali-ara-kat-daire-17898320,,,,,,,,,,,,,,,
17898428,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,110 m²,125 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,38.000TL,İstanbul - Güngören - Abdurrahman Nafiz Gürman Mahallesi,https://www.emlakjet.com/ilan/merter-31-kiralik-daire-125m-otopark-balkonlu-17898428,,,,,,,,,,,,,,,
17898393,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,123 m²,177 m²,3+1,5-10,21.Kat,42,Merkezi (Pay Ölçer),Boş,Eşyalı,Yabancıdan,Hayır,Yok,2,Genel Fiyat,130.000TL,İstanbul - Sarıyer - Huzur Mahallesi,https://www.emlakjet.com/ilan/skyland-istanbul-31-esyali-kiralik-daire-guncel-17898393,,,,,,,İkinci El,Çelik,,,,,,,
17898533,17 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Eşyalı,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,30.000TL,İstanbul - Bağcılar - Sancaktepe Mahallesi,https://www.emlakjet.com/ilan/bagcilar-meydanda-kismi-esyali-kiralik-31-daire-17898533,,,,,,,,,,,,,,,
17898368,17 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,29.000TL,İstanbul - Pendik - Fevzi Çakmak Mahallesi,https://www.emlakjet.com/ilan/metro-ve-hastaneye-yakin-31-kiralik-daire-17898368,,,,,,,,,,,,,,,
17898227,17 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,70 m²,85 m²,2+1,11-15,Bahçe Katı,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL,İstanbul - Arnavutköy - Mareşal Fevzi Çakmak Mahallesi,https://www.emlakjet.com/ilan/tasoluk-metroya-yakin-kiralik-21-bahce-kati-17898227,,,,,,,,,,,,,,,
17898025,16 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,30 m²,40 m²,Stüdyo,11-15,18.Kat,30,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,32.000TL,İstanbul - Ataşehir - Küçükbakkalköy Mahallesi,https://www.emlakjet.com/ilan/nova-dan-atasehir-brandium-da-10-kiralik-studyo-17898025,,,,,,,,,,,,,,,
17898391,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,45 m²,65 m²,Stüdyo,5-10,5.Kat,15,Merkezi (Pay Ölçer),Boş,Eşyalı,Yabancıdan,Hayır,Yok,1,Genel Fiyat,45.000TL,İstanbul - Sarıyer - Maslak Mahallesi,https://www.emlakjet.com/ilan/maslak-1453-10-esyali-kiralik-guncel-daire-17898391,,,,,,,İkinci El,Çelik,,,,,,,
17898266,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,30.000TL,İstanbul - Çekmeköy - Mimar Sinan Mahallesi,https://www.emlakjet.com/ilan/cekmekoy-vuralkent-sitesi-21-genis-ve-ferah-kiralik-daire-17898266,,,,,,,,,,,,,,,
17898267,17 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,95 m²,105 m²,3+1,5-10,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.000TL,İstanbul - Sancaktepe - Eyüp Sultan Mahallesi,https://www.emlakjet.com/ilan/sancaktepe-eyupsultan-da-31-105-m-ters-dubleks-kiralik-daire-17898267,,,,,,,,,,,,,,,
17897855,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,130 m²,140 m²,2+2,0 (Yeni),Yüksek Giriş,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,İstanbul - Arnavutköy - Nenehatun Mahallesi,https://www.emlakjet.com/ilan/drs-gayrimenkul-den-22-sifir-ters-dubleks-daire-17897855,,,,,,,,,,,,,,,
17897238,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,115 m²,153 m²,2+1,0 (Yeni),2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,120.000TL,İstanbul - Eyüpsultan - Göktürk Merkez Mahallesi,https://www.emlakjet.com/ilan/openhouse-dan-gokturk-koray-liberte-de-21-kiralik-ara-kat-daire-17897238,,,,,,,,,,,,,,,
17897813,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,5-10,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,İstanbul - Zeytinburnu - Çırpıcı Mahallesi,https://www.emlakjet.com/ilan/cirpici-da-metro-metrobus-tramvayin-dibinde-11-kiralik-daire-17897813,,,,,,,,,,,,,,,
17897409,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,88 m²,120 m²,3+1,0 (Yeni),6.Kat,6,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,35.000TL,İstanbul - Çatalca - Ferhatpaşa Mahallesi,https://www.emlakjet.com/ilan/agt-den-ferhatpasa-mah-sifir-120m2-31-kiralik-daire-17897409,,,,,,,,,,,,,,,
17897649,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,105 m²,120 m²,3+1,16-20,1.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,55.000TL,İstanbul - Ataşehir - Küçükbakkalköy Mahallesi,https://www.emlakjet.com/ilan/kucukbakkalkoyde-genc-binada-metroya-yakin-mesafede-31-17897649,,,,,,,,,,,,,,,
17897182,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,5-10,6.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,28.000TL,İstanbul - Silivri - Yeni Mahallesi,https://www.emlakjet.com/ilan/silivri-yeni-mh-merkezi-konum-cift-balkonlu-genis-21-17897182,,,,,,,,,,,,,,,
17897347,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,4,4.Kat,7,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,37.000TL,İstanbul - Çekmeköy - Alemdağ Mahallesi,https://www.emlakjet.com/ilan/cyk-gayrimenkulden-site-icersinde-21-daire-17897347,,,,,,,,,,,,,,,
17897287,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,100 m²,135 m²,3+1,5-10,8.Kat,9,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,65.000TL,İstanbul - Kadıköy - Merdivenköy Mahallesi,https://www.emlakjet.com/ilan/gozcubaba-da-cadde-ustu-bes-yillik-binada-ara-kat-kombili-17897287,,,,,,,,,,,,,,,
17897178,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,110 m²,125 m²,3+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,İstanbul - Silivri - Alibey Mahallesi,https://www.emlakjet.com/ilan/silivri-carsi-merkezde-ara-kat-cift-cephe-31-17897178,,,,,,,,,,,,,,,
17897787,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,137 m²,163 m²,3+1,21 Ve Üzeri,7.Kat,14,Kombi Doğalgaz,Kiracı Oturuyor,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,75.000TL,İstanbul - Ümraniye - Çakmak Mahallesi,https://www.emlakjet.com/ilan/agaoglu-my-city-umraniye-kiralik-daire-7-kat-31-17897787,,,,,,,İkinci El,Betonarme,,,,,,,
17897797,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,4,9.Kat,10,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,39.000TL,İstanbul - Eyüpsultan - Çırçır Mahallesi,https://www.emlakjet.com/ilan/eyup-alibeykoy-metroya-yurume-mesafesnde-butik-sitede-9-kat-21-17897797,,,,,,,,,,,,,,,
17897558,16 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Kiracı Oturuyor,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,35.000TL,İstanbul - Üsküdar - Zeynep Kamil Mahallesi,https://www.emlakjet.com/ilan/esyalikiralik-zeynepkamiluskudar-17897558,100 TL,35000 TL,Var,1,268,28,İkinci El,Betonarme,,,,,,,
17897637,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,80.000TL,İstanbul - Beyoğlu - Şahkulu Mahallesi,https://www.emlakjet.com/ilan/high-ceiling-apartment-in-a-historic-building-central-galata-17897637,,,,,,,,,,,,,,,
17897180,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,40 m²,55 m²,1+1,3,5.Kat,6,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,20.000TL,İstanbul - Silivri - Yeni Mahallesi,https://www.emlakjet.com/ilan/silivri-yeni-mh-corner-residence-bos-ara-kat-11-17897180,,,,,,,,,,,,,,,
17897250,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,80 m²,105 m²,2+1,16-20,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,24.000TL,İstanbul - Pendik - Velibaba Mahallesi,https://www.emlakjet.com/ilan/necip-emlaktan-kitas-konutlarinda-kiralik-21-daire-17897250,,,,,,,,,,,,,,,
17897402,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Boş,Eşyalı,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,30.000TL,İstanbul - Şişli - Gülbahar Mahallesi,https://www.emlakjet.com/ilan/gulbag-merkeze-yakin-temiz-bakimli-21-balkonlu-daire-17897402,,,,,,,,,,,,,,,
17897280,16 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+1,0 (Yeni),3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,36.000TL,İstanbul - Üsküdar - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/vefa-gayrimenkul-cumhuriyet-mah-arakat-21-kiralik-daire-17897280,,,,,,,,,,,,,,,
17897455,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,15.500TL,İstanbul - Sultanbeyli - Mecidiye Mahallesi,https://www.emlakjet.com/ilan/sultanbeyli-mecidiye-de-21-genis-kiralik-daire-17897455,,,,,,,,,,,,,,,
17897790,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,16-20,Yüksek Giriş,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,30.000TL,İstanbul - Sancaktepe - Abdurrahmangazi Mahallesi,https://www.emlakjet.com/ilan/24-saat-guvenlikli-sitede-21-yuksek-giris-temiz-kiralik-daire-17897790,,,,,,,,,,,,,,,
17897636,16 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,150 m²,200 m²,3+1,4,4.Kat,4,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,130.000TL,İstanbul - Beyoğlu - Hacımimi Mahallesi,https://www.emlakjet.com/ilan/spacious-31-duplex-in-galata-residence-17897636,,,,,,,,,,,,,,,
17897406,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,75 m²,90 m²,2+1,5-10,9.Kat,9,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,40.000TL,İstanbul - Ümraniye - İnkılap Mahallesi,https://www.emlakjet.com/ilan/agt-den-hastane-karsisi-site-icinde-esyali-90m2-21-kiralik-konu-17897406,,,,,,,,,,,,,,,
17897114,16 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,95 m²,115 m²,3+1,0 (Yeni),2.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,33.500TL,İstanbul - Avcılar - Ambarlı Mahallesi,https://www.emlakjet.com/ilan/avcilar-31-site-icinde-sifir-acik-kapali-otoparkli-ara-kat-17897114,,,,,,20120,,,,,,,,,
17896961,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,21 Ve Üzeri,Yüksek Giriş,5,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Evet,,1,Birim Fiyat,17.000TL,İstanbul - Kağıthane - Ortabayır Mahallesi,https://www.emlakjet.com/ilan/kagithane-ortabayir-da-genis-terasli-kiralik-daire-17896961,50 TL,17000 TL,Var,1,,,,,Açık Teras,,,,,,
17897798,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,65 m²,80 m²,1+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,24.000TL,İstanbul - Eyüpsultan - Yeşilpınar Mahallesi,https://www.emlakjet.com/ilan/eyupsultan-yesilpinar-metro-yakini-cok-genis-cok-ferah-11-17897798,,,,,,,,,,,,,,,
17897401,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,16-20,Yüksek Giriş,5,Kombi Doğalgaz,Boş,Boş,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,30.000TL,İstanbul - Şişli - Gülbahar Mahallesi,https://www.emlakjet.com/ilan/sisli-mecidiyekoy-gulbag-da-lux-21-amerikan-mutfakli-daire-17897401,,,,,,,,,,,,,,,
17897294,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,85 m²,105 m²,2+1,21 Ve Üzeri,Yüksek Giriş,6,Merkezi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,İstanbul - Kadıköy - Merdivenköy Mahallesi,https://www.emlakjet.com/ilan/gozcubaba-da-31-den-21-cevrilmis-cok-guzel-konumda-17897294,,,,,,,,,,,,,,,
17897252,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,21 Ve Üzeri,2.Kat,7,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,22.000TL,İstanbul - Fatih - Koca Mustafapaşa Mahallesi,https://www.emlakjet.com/ilan/fatih-samatya-da-11-kiralik-daire-17897252,,,,,1230,25,,,,,,,,,
17897647,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,65 m²,85 m²,2+1,5-10,1.Kat,7,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,52.000TL,İstanbul - Pendik - Batı Mahallesi,https://www.emlakjet.com/ilan/pendik-bati-mahallesi-nde-full-esyali-kiralik-21-daire-17897647,,,,,,,,,,,,,,,
17897055,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,23.500TL,İstanbul - Fatih - Ayvansaray Mahallesi,https://www.emlakjet.com/ilan/kyra-yapi-dan-ayvansaray-balat-da-kiralik-11-yenilenmis-daire-17897055,,,,,,,,,,,,,,,
