İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Ada,Parsel,Yapı Durumu,Yapı Tipi,Aidat,Depozito,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Sayısı,WC Metrekare,Görüntülü Gezilebilir mi?,Salon Metrekare
17836771,12 Ağustos 2025,15 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/sapinuva-dan-atalay-sokakta-sifir-ayarinda-kiralik-21-17836771,,,,,,,,,,,,,,,
17880984,15 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,19.500TL,Çorum - Çorum Merkez - Buharaevler Mahallesi,https://www.emlakjet.com/ilan/buharaevler-ozel-hastane-civari-31-esyali-kiralik-daire-17880984,,,,,,,,,,,,,,,
17895501,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,170 m²,220 m²,4+1,5-10,3.Kat,7,Merkezi (Pay Ölçer),Kiracı Oturuyor,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,30.000TL,Çorum - Çorum Merkez - Kunduzhan Mahallesi,https://www.emlakjet.com/ilan/pasazade-konutlarinda-kiralik-arakat-41-bakimli-daire-17895501,,,,,,,,,,,,,,,
17864918,13 Ağustos 2025,13 Ağustos 2025,Konut,Kiralık,Daire,135 m²,145 m²,3+1,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Birim Fiyat,15.000TL,Çorum - Çorum Merkez - Gülabibey Mahallesi,https://www.emlakjet.com/ilan/cuma-pazari-karsisi-kiralik-ev-17864918,2363,110,,,,,,Var,4 +,Açık Balkon,,,,,
17808775,10 Ağustos 2025,11 Ağustos 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievler-merkezde-bakimli-kiralik-17808775,,,,,,,,,,,,,,,
17819510,11 Ağustos 2025,13 Ağustos 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,7.Kat,7,Kombi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,18.000TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/mct-gayrimenkul-den-sehir-manzarali-bahabey-cad-17819510,,,,,,,,,,,,,,,
17868576,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,80 m²,100 m²,3+1,0 (Yeni),Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,20.000TL,Çorum - Çorum Merkez - Çepni Mahallesi,https://www.emlakjet.com/ilan/kent-park-millet-bahcesi-civarinda-31-sifir-kiralik-daire-17868576,,,,,,,,,,,,,,,
17855197,13 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,5-10,4.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Çorum - Osmancık - Koyunbaba Mahallesi,https://www.emlakjet.com/ilan/sila-gayrimenkulden-kiralik-koyunbaba-mah-de-31-4-cu-kat-daire-17855197,,,,,,,,,,,,,,,
17868544,14 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,13.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/osmancik-caddesi-uzerinde-31-kiralik-daire-17868544,,,,,,,,,,,,,,,
17868583,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,12.000TL,Çorum - Çorum Merkez - Mimar Sinan Mahallesi,https://www.emlakjet.com/ilan/mimar-sinan-fevzi-cakmak-cadde-uzeri-esyali-kiralik-21-daire-17868583,,,,,,,,,,,,,,,
17808778,10 Ağustos 2025,10 Ağustos 2025,Konut,Kiralık,Daire,200 m²,230 m²,4+1,0 (Yeni),3.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,50.000TL,Çorum - Çorum Merkez - Üçtutlar Mahallesi,https://www.emlakjet.com/ilan/rose-garden-sitesi-kiralik-17808778,,,,,,,,,,,,,,,
17801749,10 Ağustos 2025,10 Ağustos 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,16-20,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,27.500TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievler-beyaz-park-cepheli-kiralik-daire-17801749,,,,,,,,,,,,,,,
17881397,15 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,140 m²,145 m²,2+1,11-15,4.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,19.000TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/arkadas-emlaktan-bahcelievler-bahar-cad-21-esyali-kiralik-daire-17881397,2559,13,,,,,,,,,,,,,
17868600,14 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,70 m²,80 m²,1+1,2,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,11.000TL,Çorum - Çorum Merkez - Yeniyol Mahallesi,https://www.emlakjet.com/ilan/sehir-merkezinde-11-kiralik-daire-17868600,,,,,,,,,,,,,,,
17910844,18 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,4,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.500TL,Çorum - Çorum Merkez - Karakeçili Mahallesi,https://www.emlakjet.com/ilan/kulaksiz-cami-civarinda-kiralik-11-daire-ya-da-ofis-17910844,,,,,,,,,,,,,,,
17868546,14 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,140 m²,160 m²,3+1,5-10,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,2,Genel Fiyat,27.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/osmancik-cad-alya-park-sitesinde-kiralik-arakat-31-daire-17868546,,,,,,,,,,,,,,,
17917904,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,105 m²,148 m²,3+1,0 (Yeni),3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,25.500TL,Çorum - Çorum Merkez - Çepni Mahallesi,https://www.emlakjet.com/ilan/kent-park-yakini-fen-lisesi-3-caddede-31-kiralik-daire-17917904,,,,,,,,,,,,,,,
17917901,19 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,12.500TL,Çorum - Çorum Merkez - Üçtutlar Mahallesi,https://www.emlakjet.com/ilan/osmancik-cad-damla-tuhafiye-karsisi-31-bakimli-kiralik-daire-17917901,,,,,,,,,,,,,,,
17868538,14 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,70 m²,85 m²,1+1,2,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.500TL,Çorum - Çorum Merkez - Yeniyol Mahallesi,https://www.emlakjet.com/ilan/sehir-merkezinde-11-esyali-kiralik-daire-17868538,,,,,,,,,,,,,,,
17855186,13 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,16-20,1.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.500TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/eymen-yapidan-selcuk-cad-ful-esyeli-kiralik-daire-17855186,,,,,,,,,,,,,,,
17882559,15 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,128 m²,130 m²,3+1,5-10,5.Kat,5,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,17.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/corum-pehlivan-emlaktan-ciftlik-caddesinde-kiralik-31-daire-17882559,,,,,,,,,,,,,,,
17868542,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,115 m²,130 m²,2+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.500TL,Çorum - Çorum Merkez - Yavruturna Mahallesi,https://www.emlakjet.com/ilan/bahabey-cad-eski-dis-hast-arkasi-21-kiralik-daire-17868542,,,,,,,,,,,,,,,
17855185,13 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,125 m²,135 m²,3+1,1,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.500TL,Çorum - Çorum Merkez - Üçtutlar Mahallesi,https://www.emlakjet.com/ilan/eymen-yapi-carsi-merkezde-ulu-cami-yakin-kiralik-31-daire-17855185,,,,,,,,,,,,,,,
17905929,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/suheybi-rumi-imam-hatip-ortaokulu-yaninda-kiralik-21-daire-17905929,,,,,,,,,,,,,,,
17901475,17 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,70 m²,82 m²,2+1,0 (Yeni),4.Kat,5,Kombi Doğalgaz,Boş,Boş,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,25.000TL,Çorum - Çorum Merkez - Üçtutlar Mahallesi,https://www.emlakjet.com/ilan/carrefoursa-karsisi-ara-kat-21-amerikan-mutfak-17901475,,,,,,,,,,,,,,,
17868547,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,150 m²,165 m²,4+1,0 (Yeni),3.Kat,3,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,30.000TL,Çorum - Çorum Merkez - Çepni Mahallesi,https://www.emlakjet.com/ilan/fen-lisesi-bolgesinde-41-sifir-kiralik-daire-17868547,,,,,,,,,,,,,,,
17832872,12 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,110 m²,115 m²,3+1,21 Ve Üzeri,1.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/corum-merkez-bahabey-cad-ustu-31-kiralik-daire-17832872,,,,,,,,,,,,,,,
17868603,14 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,13.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/osmancik-caddesi-uzerinde-21-kiralik-daire-17868603,,,,,,,,,,,,,,,
17901478,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,2+1,11-15,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Hisseli Tapu,Hayır,Yok,1,Genel Fiyat,17.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/sehir-merkezinde-21-full-esyali-17901478,,,,,,,,,,,,,,,
17895500,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,5-10,1.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,18.000TL,Çorum - Çorum Merkez - Buharaevler Mahallesi,https://www.emlakjet.com/ilan/mahmutevler-kevser-cami-yakininda-kiralik-31-daire-17895500,,,,,,,,,,,,,,,
17521601,21 Haziran 2025,23 Haziran 2025,Konut,Kiralık,Daire,105 m²,115 m²,3+0,0 (Yeni),4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,16.000TL,Çorum - Osmancık - Yeni Mahallesi,https://www.emlakjet.com/ilan/yeni-mahalle-de-sifir-kiralik-daire-17521601,,,,,,,,,,,,,,,
17773671,06 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,0 (Yeni),3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,Çorum - Çorum Merkez - Çepni Mahallesi,https://www.emlakjet.com/ilan/fen-lisesi-ozejder-sosyal-bilim-lisesi-karsisi-21-kiralik-daire-17773671,,,,,,,,,,,,,,,
17608982,07 Temmuz 2025,07 Temmuz 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),3.Kat,3,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,19.000TL,Çorum - Çorum Merkez - Çepni Mahallesi,https://www.emlakjet.com/ilan/fen-lisesi-bolgesinde-vega-suit-sifir-kiralik-11-daire-17608982,,,,,,,,,,,,,,,
17692589,22 Temmuz 2025,14 Ağustos 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,11-15,1.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Çorum - Çorum Merkez - Karakeçili Mahallesi,https://www.emlakjet.com/ilan/tavuklukta-31-kiralik-daire-17692589,,,İkinci El,Betonarme,,,,,,,,,,,
17789695,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,1.Kat,6,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/hasan-bulgur-emlaktan-bahabey-caddesinde-31-kiralik-17789695,,,İkinci El,Kagir,,,,,,,,,,,
17699041,23 Temmuz 2025,23 Temmuz 2025,Konut,Kiralık,Daire,125 m²,140 m²,3+1,11-15,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,14.000TL,Çorum - Çorum Merkez - Yavruturna Mahallesi,https://www.emlakjet.com/ilan/mct-gayrimenkul-den-eti-lisesi-civari-31-17699041,,,,,,,,,,,,,,,
17568909,30 Haziran 2025,30 Haziran 2025,Konut,Kiralık,Daire,100 m²,105 m²,2+1,11-15,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/esyali-kiralik-daire-21i-garanti-evlerde-17568909,,,,,,,,,,,,,,,
17801732,10 Ağustos 2025,10 Ağustos 2025,Konut,Kiralık,Daire,120 m²,150 m²,4+1,0 (Yeni),3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,30.000TL,Çorum - Çorum Merkez - Çepni Mahallesi,https://www.emlakjet.com/ilan/fen-lisesi-bolgesi-ara-kat-sifir-41-kiralik-daire-17801732,,,,,,,,,,,,,,,
17631810,10 Temmuz 2025,10 Temmuz 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,7.Kat,8,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,18.500TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/guvenay-corum-fatih-caddesi-31-kiralik-daire-17631810,,,,,,,,,,,,,,,
17606165,06 Temmuz 2025,06 Temmuz 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,11-15,Bodrum Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,8.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/ciftlik-caddesi-arkasi-21-kiralik-daire-17606165,,,İkinci El,Betonarme,,,,,,,,,,,
17608986,07 Temmuz 2025,07 Ağustos 2025,Konut,Kiralık,Daire,100 m²,125 m²,3+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievler-ismail-kakac-okulu-yani-kiralik-bakimli-31-daire-17608986,2595,17,,,,,,,,,,,,,
17590176,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,11-15,1.Kat,10,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,18.000TL,Çorum - Çorum Merkez - Kunduzhan Mahallesi,https://www.emlakjet.com/ilan/merkez-devane-toki-konutlari-21-esyali-kiralik-daire-17590176,,,,,,,,,,,,,,,
17644156,12 Temmuz 2025,12 Temmuz 2025,Konut,Kiralık,Daire,125 m²,135 m²,4+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,18.000TL,Çorum - Çorum Merkez - Ulukavak Mahallesi,https://www.emlakjet.com/ilan/guvenay-corum-dr-ilhan-gurel-cadde-uzeri-41-kiralik-daire-17644156,,,,,,,,,,,,,,,
17207661,24 Nisan 2025,30 Haziran 2025,Konut,Kiralık,Daire,90 m²,100 m²,1+1,0 (Yeni),1.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,Çorum - Çorum Merkez - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/kiralik-daire-21-ipek-taksi-yani-mehmet-akif-ersoy-cad-uzerinde-17207661,,,,,,,,,,,,,,,
17275453,03 Mayıs 2025,01 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,9.000TL,Çorum - Çorum Merkez - Karakeçili Mahallesi,https://www.emlakjet.com/ilan/sehir-merkezinde-karakecili-mahallesinde-kiralik-21-daire-17275453,,,,,,,,,,,,,,,
17761833,04 Ağustos 2025,06 Ağustos 2025,Konut,Kiralık,Daire,115 m²,120 m²,2+1,4,2.Kat,2,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,19.000TL,Çorum - Çorum Merkez - Kale Mahallesi,https://www.emlakjet.com/ilan/arkadas-emlaktan-kale-mahallesinde-sifir-31-kiralik-daire-17761833,791,12,,,,,,,,,,,,,
