İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Balkon Sayısı,Balkon Tipi,WC Sayısı,Fiyat Durumu,fiyat,konum,URL,Ada,Parsel,Yapı Durumu,Eşya Durumu,Takas,Yapı Tipi,Aidat,Depozito,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
17926457,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,35 m²,45 m²,Stüdyo,11-15,4.Kat,4,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,9.000TL,Adana - Seyhan - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/seyhan-yesilyurt-duygu-kafeye-yurume-mesafesinde-10-daireler-17926457,,,,Eşyalı,Yok,,,,,,,,
17928533,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),2.Kat,3,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,250.000TL,Adana - Çukurova - Beyazevler Mahallesi,https://www.emlakjet.com/ilan/beyazevlerde-sifir-esyali-sifir-daire-balkonlu-1-1-daire-17928533,7363,22,,,,,,,,,,,
17931034,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,Stüdyo,16-20,2.Kat,3,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Birim Fiyat,9.000TL,Adana - Seyhan - Yenibaraj Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-civari-kiralik-esyali-daire-10-17931034,,,,Eşyalı,,,,,,,,,
17930083,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,140 m²,165 m²,3+1,5-10,1.Kat,12,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,,,,,Genel Fiyat,280.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/begovic-bulvarinda-c-banyolu-k-mutfak-genis-oturumlu-31-17930083,,,,,,,,,,,,,
17936394,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,200 m²,220 m²,4+1,5-10,12.Kat,12,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Evet,2,,,,,Genel Fiyat,400.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/g-pasada-yuzme-havuzu-sitede-41cift-bkilerli-dogalgazli-17936394,,,,,,,,,,,,,
17929562,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,150 m²,180 m²,4+1,4,9.Kat,9,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,37.000TL,Adana - Seyhan - Pınar Mahallesi,https://www.emlakjet.com/ilan/turkmenbasi-bulvari-uzerinde-ultra-lux-g-odali-c-banyolu-41-17929562,10510,15,,,,,,,,,,,
17935255,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,125 m²,155 m²,3+1,16-20,Bahçe Dublex,3,Güneş Enerjisi,Boş,Kat İrtifakı,Hayır,1,,,,,Genel Fiyat,300.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/gurselpasa-asmaalti-civari-mustakil-ev-bahceli-dublex-daire-31-17935255,1869,2,,,,,,,,,,,
17927962,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,5-10,1.Kat,14,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,,,,,Genel Fiyat,27.000TL,Adana - Yüreğir - Kışla Mahallesi,https://www.emlakjet.com/ilan/kisla-toki-de-21-ful-esyali-dogalgazli-kiralik-daire-17927962,11862,8,,,,,750 TL,25000 TL,,,,,
17938427,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,145 m²,155 m²,3+1,16-20,3.Kat,9,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,Var,2,Açık Balkon,2,Genel Fiyat,32.000TL,Adana - Çukurova - Güzelyalı Mahallesi,https://www.emlakjet.com/ilan/turgut-ozal-bulvari-sosyete-pazar-karsisi-dogalgazli-31-daire-17938427,5776,6,İkinci El,Boş,Var,Betonarme,,32000 TL,Hayır,,,,
17931868,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,150 m²,165 m²,3+1,21 Ve Üzeri,4.Kat,8,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,27.500TL,Adana - Çukurova - Güzelyalı Mahallesi,https://www.emlakjet.com/ilan/adana-cukurova-guzelyali-turgut-ozala-50-metre-hasarsiz-iskanli-dogalgazli-31-k-mutfak-8-4-kat-17931868,,,İkinci El,,Yok,Betonarme,,,,,,,
17930596,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,180 m²,200 m²,4+1,11-15,3.Kat,14,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,Var,2,Açık Balkon,3,Genel Fiyat,25.000TL,Adana - Çukurova - Huzurevleri Mahallesi,https://www.emlakjet.com/ilan/huzurevleri-mahallesinde-genis-41-kiralik-daire-17930596,,,İkinci El,Boş,Yok,Betonarme,500 TL,,Evet,,,,
17940565,23 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,12.Kat,13,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Genel Fiyat,15.000TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/birlikten-gultepe-de-full-esyali-11-kiralik-daire-klimali-17940565,,,,,,,,,,,,,
17934451,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,90 m²,120 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),5,Klimalı,Boş,Yabancıdan,Hayır,1,Var,1,Kapalı Balkon,2,Genel Fiyat,14.000TL,Adana - Çukurova - Toros Mahallesi,https://www.emlakjet.com/ilan/mavi-bulvar-toros-mh-barajyolu-civari-21-kapali-mutfak-uygunn-kacmazz-kiralik-daire-17934451,,,İkinci El,Boş,,Betonarme,,,,,,,
17935100,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,2,2.Kat,10,Klimalı,Boş,Kat Mülkiyeti,Evet,1,Var,1,Açık Balkon,1,Genel Fiyat,14.500TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/sahibinden-esyali-kiralik-11-daire-17935100,856,7,Sıfır,,Yok,,650 TL,14500 TL,,,,,
17933847,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,5-10,7.Kat,13,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,,,,,Genel Fiyat,27.500TL,Adana - Seyhan - Pınar Mahallesi,https://www.emlakjet.com/ilan/luks-ve-sosyal-donatimi-o-zaman-aradiginiz-daire-bu-17933847,,,,,,,,,,,,,
17936574,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,1,2.Kat,13,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,17.000TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/birlik-gyrimenkulden-carkipare-de-11-full-esyali-iskanli-hasarsiz-kacmaz-kiralik-dair-17936574,213,1,,,,,,,,,,,
17940231,23 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,130 m²,160 m²,3+1,21 Ve Üzeri,1.Kat,4,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,230.000TL,Adana - Seyhan - Emek Mahallesi,https://www.emlakjet.com/ilan/emek-mahallesinde-ici-yapili-31-kapali-mutfakli-kiralik-daire-17940231,1500,7,,,,,,,,,,,
17918290,19 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,21 Ve Üzeri,Düz Giriş (Zemin),9,Isıtma Yok,Boş,Kat Mülkiyeti,Hayır,1,Yok,,,,Genel Fiyat,10.000TL,Adana - Çukurova - Mahfesığmaz Mahallesi,https://www.emlakjet.com/ilan/adana-cukurova-kenan-evrene-yakin-zemin-kat-11-calisan-tek-bekara-verilecektir-17918290,7902,43,İkinci El,Boş,Yok,Betonarme,,,Evet,,,,
17921483,20 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,140 m²,180 m²,3+1,16-20,7.Kat,7,Isıtma Yok,Boş,Tapu Kaydı Yok,Hayır,1,,,,,Genel Fiyat,200.000TL,Adana - Çukurova - Toros Mahallesi,https://www.emlakjet.com/ilan/kiralik-31toros-7-7-kati-bulvar-uzeri-yeni-cetinkaya-civari-kapali-mutfak-yillik-200-000tl-17921483,,,,,,,,,,,,,
17922253,20 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,21 Ve Üzeri,2.Kat,3,Klimalı,Boş,Yabancıdan,Hayır,1,Var,1,,,Genel Fiyat,16.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-hasan-usta-karsisi-esyali-kiralik-11-daire-17922253,2,1,,,,,,,,,,,
17924136,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,1,3.Kat,8,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,Var,1,Açık Balkon,,Birim Fiyat,13.000TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/saricam-carkipare-de-11-kombi-ankastreli-bulvar-uzeri-kacmaz-17924136,353,9,,,,,500 TL,13000 TL,,,,,
17917483,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,11-15,Bahçe Katı,3,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,16.500TL,Adana - Çukurova - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/demirelde-dusuk-katli-11-full-esyali-guvenlikli-depozito-yok-17917483,,,,Eşyalı,Yok,,,,,,,,
17926177,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,85 m²,115 m²,3+1,4,9.Kat,10,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,16.500TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/kurul-gayrimenkulden-carkipare-de-acik-mutfak-kiralik-31-17926177,,,,Boş,Yok,,,,,,,,
17926049,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,115 m²,3+1,5-10,7.Kat,14,Isıtma Yok,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,14.000TL,Adana - Sarıçam - Osmangazi Mahallesi,https://www.emlakjet.com/ilan/saricam-anadolu-lisesi-yakini-17926049,,,,Boş,Yok,,,,,,,,
17925768,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,100 m²,130 m²,3+1,21 Ve Üzeri,10.Kat,10,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,23.500TL,Adana - Çukurova - Yüzüncüyıl Mahallesi,https://www.emlakjet.com/ilan/esyali-100-yil-bulvarinda-cemevi-civari-full-esyali-31-daire-17925768,,,,Eşyalı,Yok,,,,,,,,
17922550,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,120 m²,2+1,2,10.Kat,11,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,Var,,,,Genel Fiyat,240.000TL,Adana - Seyhan - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/iboosmanda-2yillik-yeni-kiralik-daire-17922550,1703,333,,,,,,,,,,,
17917183,19 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,5-10,5.Kat,10,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,Var,,,1,Genel Fiyat,37.500TL,Adana - Çukurova - Mahfesığmaz Mahallesi,https://www.emlakjet.com/ilan/mahfesigmaz-da-fullfull-esyali-21-luks-kiralik-daire-17917183,,,Sıfır,Eşyalı,Yok,Betonarme,350 TL,37500 TL,Evet,,,,
17921541,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,Stüdyo,16-20,3.Kat,3,Klimalı,Boş,Tapu Kaydı Yok,Evet,1,,,,,Genel Fiyat,10.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/barajyolu-migros-karsisi-10-genis-esyali-daire-17921541,,,,,,,,,,,,,
17917296,19 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,175 m²,200 m²,3+1,11-15,8.Kat,13,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,Var,,,3,Genel Fiyat,35.000TL,Adana - Çukurova - Mahfesığmaz Mahallesi,https://www.emlakjet.com/ilan/mahfesigmaz-da-full-esyali-31-luks-kiralik-daire-17917296,,,İkinci El,Eşyalı,Yok,Betonarme,250 TL,35000 TL,Evet,,,,
17923033,20 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,170 m²,185 m²,3+1,11-15,10.Kat,12,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,Var,,,3,Genel Fiyat,24.500TL,Adana - Çukurova - Huzurevleri Mahallesi,https://www.emlakjet.com/ilan/huzurevleri-nde-genis-ve-ferahl-31-kiralik-daire-17923033,,,İkinci El,Boş,Yok,Betonarme,300 TL,,Evet,,,,
17924511,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,100 m²,140 m²,2+1,11-15,4.Kat,9,Isıtma Yok,Boş,Tapu Kaydı Yok,Evet,1,Var,3,"Açık Balkon, Kapalı Balkon",,Genel Fiyat,18.500TL,Adana - Seyhan - Pınar Mahallesi,https://www.emlakjet.com/ilan/pinar-mh-de-21-acik-mutfak-genis-kiralik-daire-17924511,,,,,,,,,,,,,
17921214,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,145 m²,160 m²,3+1,21 Ve Üzeri,5.Kat,10,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,Var,1,Açık Balkon,,Genel Fiyat,27.000TL,Adana - Çukurova - Mahfesığmaz Mahallesi,https://www.emlakjet.com/ilan/ozal-bulvari-uzeri-mukemmel-ekstrali-daire-17921214,,,,,,,400 TL,,Hayır,,,,
17921570,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,30 m²,45 m²,Stüdyo,16-20,2.Kat,3,Klimalı,Boş,Yabancıdan,Evet,1,,,,,Genel Fiyat,9.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/barajyolu-migros-karsisi-10-esyali-daire-17921570,,,,,,,,,,,,,
17917011,19 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,130 m²,150 m²,3+1,21 Ve Üzeri,1.Kat,7,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,20.000TL,Adana - Çukurova - Mahfesığmaz Mahallesi,https://www.emlakjet.com/ilan/amac-dan-iller-bankasi-civari-31-kapali-mutfak-az-katli-binada-hasarsiz-kiralik-daire-17917011,,,İkinci El,,Yok,Betonarme,,,,,,,
17917279,19 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,2+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Evet,1,,,,,Genel Fiyat,160.000TL,Adana - Çukurova - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/cukurova-belediyesinin-orada-bulvara-1-dk-uzaklikta-genis-oturumlu-21-dair-e-17917279,,,,,,,,,,,,,
17921035,20 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,0 (Yeni),3.Kat,5,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,,,,,Genel Fiyat,12.500TL,Adana - Sarıçam - Ertuğrulgazi Mahallesi,https://www.emlakjet.com/ilan/akkuyu-tokide-dogalgazli-kiralik-21-17921035,,,,Boş,Yok,,,,,,,,
17916443,19 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,35 m²,40 m²,Stüdyo,5-10,2.Kat,3,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Birim Fiyat,8.500TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-civari-kiralik-esyali-daire-10-17916443,,,,Eşyalı,,,,,,,,,
17916632,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,2,7.Kat,8,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,16.000TL,Adana - Sarıçam - Elif Su Uludağ Mahallesi,https://www.emlakjet.com/ilan/ahmet-zenbilci-bulvari-uzeri-17916632,,,,Boş,Yok,,,,,,,,
17923501,20 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,107 m²,180 m²,3.5+1,16-20,9.Kat,11,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,Var,,,,Genel Fiyat,27.000TL,Adana - Seyhan - 2000 Evler Mahallesi,https://www.emlakjet.com/ilan/bulent-ecevit-2000evler-imkb-lisesi-yani-kirlaik-daire-17923501,7541,7,,,,,,,,,,,
17923606,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,11-15,Bahçe Katı,9,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,Yok,,,,Genel Fiyat,13.000TL,Adana - Çukurova - Toros Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-mavi-bulvar-kiralik-11-esyali-uygun-firsat-daire-17923606,5690,1,,Eşyalı,,,,,Evet,,,,
17922621,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,11-15,4.Kat,4,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,14.500TL,Adana - Seyhan - Sarıhuğlar Mahallesi,https://www.emlakjet.com/ilan/yesiloba-toki-konutlarinda-k-mutfak-21-kiralik-daire-17922621,1901,1,,,,,,,,,,,
17921033,20 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,45 m²,60 m²,1+1,3,7.Kat,12,Klimalı,Boş,Kat Mülkiyeti,Evet,1,,,,,Genel Fiyat,14.000TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/adana-saricam-carkipare-de-sifir-full-esyali-kacmaz-daire-17921033,,,,Eşyalı,Yok,,,,,,,,
17916627,19 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,1,9.Kat,13,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,15.000TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/carkiparde-ilim-yolu-bul-sec-market-arasi-21-kiralik-daire-17916627,,,,Boş,Yok,,,,,,,,
17916453,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,11-15,4.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,Var,,,,Birim Fiyat,16.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-civari-kiralik-esyali-daire-11-17916453,,,,Eşyalı,,,,,,,,,
17922020,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,1,5.Kat,14,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,25.750TL,Adana - Çukurova - Toros Mahallesi,https://www.emlakjet.com/ilan/mavibulvar-da-7-24-guvenlikli-kombili-21-k-m-kiralik-daire-17922020,,,,Boş,Yok,,,,,,,,
17780852,08 Ağustos 2025,08 Ağustos 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,5-10,5.Kat,13,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,,,,,Genel Fiyat,285.000TL,Adana - Çukurova - Yüzüncüyıl Mahallesi,https://www.emlakjet.com/ilan/saglam-dan-yuzuncuyil-da-kiralik-21-daire-17780852,,,,Boş,Yok,,,,,,,,
17915765,19 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,16-20,2.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,Var,,,,Genel Fiyat,12.000TL,Adana - Seyhan - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/seyhan-yesilyurt-21-kapali-mutfakli-aylik-daire-17915765,,,,,,,,,,,,,
