İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Aidat,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Depozito,Ada,Parsel,Eşya Durumu,Balkon Durumu,Balkon Sayısı,WC Sayısı,Görüntülü Gezilebilir mi?,Balkon Tipi,Salon Metrekare,WC Metrekare,Banyo Metrekare,Balkon Metrekare
17743286,31 Temmuz 2025,21 Ağustos 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,5-10,8.Kat,14,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,35.000TL,Ankara - Mamak - Durali Alıç Mahallesi,https://www.emlakjet.com/ilan/ankara-mamak-durali-alic-mh-calkan-parkevlerinde-8-katta-31-guvenlikli-site-ici-yapili-daire-17743286,34000 TL,38907,1,Boş,Var,2,1,Evet,,,,,
17742809,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,4.Kat,4,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,2750 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Ankara - Çankaya - Ayrancı Mahallesi,https://www.emlakjet.com/ilan/cankayadan-ayrancida-tirebolu-sokakata-katta-on-cephe-31-masrafsiz-merkezi-sistem-otoparkli-17742809,,,,,,,,,,,,,
17740410,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,160 m²,180 m²,4+1,11-15,8.Kat,11,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,47.000TL,Ankara - Etimesgut - Yeni Bağlıca Mahallesi,https://www.emlakjet.com/ilan/adda-gayrimenkul-baglica-bagsehir-konutlari-kiralik-41-daire-17740410,,,,Boş,,,,,,,,,
17739282,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,16-20,1.Kat,3,Kombi Doğalgaz,Boş,,,100 TL,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,32.000TL,Ankara - Etimesgut - Atakent Mahallesi,https://www.emlakjet.com/ilan/akif-ten-atakent-te-banka-bloklari-karsisi-cadde-uzeri-31-esyali-kiralik-daire-17739282,32000 TL,45708,1,,,,,,,,,,
17742139,31 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,140 m²,2+1,21 Ve Üzeri,Çatı Katı,4,Kombi Doğalgaz,Boş,İkinci El,Betonarme,500 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,49.000TL,Ankara - Çankaya - Anıttepe Mahallesi,https://www.emlakjet.com/ilan/anittepe-de-21-teras-esyali-kombili-kiralik-daire-17742139,49000 TL,5466,20,Eşyalı,,,,,,,,,
17742819,31 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,140 m²,160 m²,3+1,16-20,1.Kat,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,200 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Ankara - Yenimahalle - Yunus Emre Mahallesi,https://www.emlakjet.com/ilan/zelis-emlak-tan-yenimahalle-merkezde-etlik-sehir-hastanesi-ve-metro-istasyonu-yurume-mesafesinde-17742819,35000 TL,8006,24,Boş,Var,2,2,Hayır,Açık Balkon,30 m²,2 m²,,
17740806,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,70 m²,90 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),2,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Ankara - Yenimahalle - Tepealtı Mahallesi,https://www.emlakjet.com/ilan/kuzey-emlak-tan-yenimahallede-metro-yakini-21-kiralik-daire-17740806,,,,Boş,,,,,,,,,
17744127,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,0 (Yeni),2.Kat,4,Kombi Doğalgaz,Boş,Sıfır,Betonarme,,Kat Mülkiyeti,Hayır,Yok,Yok,Genel Fiyat,40.000TL,Ankara - Çankaya - Keklik Pınarı Mahallesi,https://www.emlakjet.com/ilan/dikmen-keklikpinari-yeni-31-katta-luks-daire-17744127,,,,,,,,,,,,,
17744719,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,115 m²,125 m²,3+1,16-20,1.Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,200 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,23.000TL,Ankara - Keçiören - Güzelyurt Mahallesi,https://www.emlakjet.com/ilan/kecioren-aktepede-1-kat-31-kiralik-daire-17744719,,,,,,,,,,,,,
17738917,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,16-20,Kot 1 (-1).Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,30.000TL,Ankara - Çankaya - Murat Mahallesi,https://www.emlakjet.com/ilan/gaziosmanpasa-ulubey-sokak-31-kiralik-daire-17738917,,,,Boş,,,,,,,,,
17737917,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,140 m²,3+1,0 (Yeni),1.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,21.000TL,Ankara - Akyurt - Yeşiltepe Mahallesi,https://www.emlakjet.com/ilan/atlas-emlak-kiralik-sifiryapi-giyinmeodali-hastanekarsisi-17737917,,,,Boş,,,,,,,,,
17743118,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,95 m²,105 m²,2+1,11-15,3.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.000TL,Ankara - Etimesgut - Piyade Mahallesi,https://www.emlakjet.com/ilan/piyade-mah-21-3-katta-yapili-on-cephe-kiralik-yeri-guzel-17743118,,,,Boş,,,,,,,,,
17741341,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,280 m²,300 m²,6+2,21 Ve Üzeri,Çatı Katı,5,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,2500 TL,Kat Mülkiyeti,Hayır,Yok,3,Genel Fiyat,65.000TL,Ankara - Çankaya - 100. Yıl Mahallesi,https://www.emlakjet.com/ilan/doruk-gayrimenkul-guvencesiyle-kiralik-teras-dubleks-daire-17741341,,,,,,,,,,,,,
17736916,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,2,3.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,36.500TL,Ankara - Gölbaşı - Taşpınar Mahallesi,https://www.emlakjet.com/ilan/incek-taspinar-da-yapili-ve-bakimli-21-dubleks-kiralik-daire-17736916,,,,Boş,,,,,,,,,
17734581,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,5-10,3.Kat,11,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,24.000TL,Ankara - Mamak - Şirintepe Mahallesi,https://www.emlakjet.com/ilan/vega-gayrimenkul-sirintepe-de-kiralik-31-daire-17734581,,,,Boş,,,,,,,,,
17736888,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Ankara - Mamak - Başak Mahallesi,https://www.emlakjet.com/ilan/karapurcek-cadde-uzeri-31-17736888,,,,Boş,,,,,,,,,
17734074,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,140 m²,160 m²,3+1,5-10,3.Kat,8,Merkezi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,30.000TL,Ankara - Altındağ - Solfasol Mahallesi,https://www.emlakjet.com/ilan/kuzey-ankaranin-en-guzel-etabinda-cadde-uzerinde-kiralik-31-daire-17734074,,70147,3,,,,,,,,,,
17737438,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,65 m²,70 m²,1+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,13.250TL,Ankara - Mamak - Zirvekent Mahallesi,https://www.emlakjet.com/ilan/zirve-zirvekent-mh-ankara-manzarali-full-esyali-11-daire-17737438,,,,Boş,,,,,,,,,
17733169,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,135 m²,140 m²,3+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,19.000TL,Ankara - Polatlı - Fatih Mahallesi,https://www.emlakjet.com/ilan/polatli-fatihte-sanat-okulu-yakininda-31-140mk-kiralik-daire-17733169,,,,,,,,,,,,,
17733214,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,105 m²,3+1,11-15,2.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,21.000TL,Ankara - Keçiören - Şehit Kubilay Mahallesi,https://www.emlakjet.com/ilan/ozlem-caddesi-uzeri-orta-kat-31-kiralik-daire-17733214,,,,Boş,,,,,,,,,
17734632,30 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+0,21 Ve Üzeri,1.Kat,4,Merkezi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,35.000TL,Ankara - Çankaya - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahceli-2-cadde-uzerinde-31-1-kat-yan-cephe-17734632,,2658,5,,,,,,,,,,
17736922,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,Kot 1 (-1).Kat,27,Fancoil Ünitesi,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Ankara - Çankaya - Ayrancı Mahallesi,https://www.emlakjet.com/ilan/cankaya-konut-kuleleri-21-genis-kiralik-daire-17736922,,,,Boş,,,,,,,,,
17737195,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,4,2.Kat,14,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,25.000TL,Ankara - Mamak - Hüseyingazi Mahallesi,https://www.emlakjet.com/ilan/tasan-gayrimenkul-den-cok-katlilarda-kiralik-31-daire-17737195,,,,Boş,,,,,,,,,
17736592,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,0 (Yeni),4.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,22.000TL,Ankara - Mamak - Hürel Mahallesi,https://www.emlakjet.com/ilan/isin-uzmanindan-sehrin-gobeginde-21-ve-11-kiralik-daireler-17736592,,,,Boş,,,,,,,,,
17734565,30 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,Kot 2 (-2).Kat,5,Merkezi (Pay Ölçer),Boş,İkinci El,Betonarme,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,23.500TL,Ankara - Mamak - Altıağaç Mahallesi,https://www.emlakjet.com/ilan/mamak-altiagac-mah-full-esyali-asansorlu-kiralik-daire-17734565,23500 TL,52599,1,Eşyalı,Var,1,,,Açık Balkon,,,,
17733168,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,110 m²,115 m²,3+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,İkinci El,Betonarme,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Ankara - Polatlı - Zafer Mahallesi,https://www.emlakjet.com/ilan/polatli-zaferde-31-110mk-birinci-kat-kiralik-daire-17733168,,,,,,,,,,,,,
17736930,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,110 m²,125 m²,3+1,21 Ve Üzeri,10.Kat,10,Merkezi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,31.000TL,Ankara - Yenimahalle - Ergazi Mahallesi,https://www.emlakjet.com/ilan/esyali-kiralik-daire-17736930,,,,Eşyalı,,,,,,,,,
17736910,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,11-15,Kot 1 (-1).Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Ankara - Keçiören - Osmangazi Mahallesi,https://www.emlakjet.com/ilan/osmangazi-mah-bademlik-cad-ustunde-140-m2-31-altinda-iki-kat-17736910,,,,Boş,,,,,,,,,
17736918,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,125 m²,130 m²,3+1,16-20,1.Kat,2,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Ankara - Keçiören - Bağlarbaşı Mahallesi,https://www.emlakjet.com/ilan/bursa-caddesinde-31-on-cephe-kiralik-daire-17736918,,,,Eşyalı,,,,,,,,,
17736538,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,115 m²,3+1,4,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,14.500TL,Ankara - Akyurt - Yıldırım Mahallesi,https://www.emlakjet.com/ilan/zirve-gayrimenkul-31-giris-cift-banyo-merkezi-konum-daire-17736538,,,,,,,,,,,,,
17734247,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,23.000TL,Ankara - Keçiören - İncirli Mahallesi,https://www.emlakjet.com/ilan/etlik-te-bagimsiz-21-yuksek-giris-17734247,,,,Boş,,,,,,,,,
17733763,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,105 m²,3+1,11-15,Kot 2 (-2).Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,13.500TL,Ankara - Keçiören - Bademlik Mahallesi,https://www.emlakjet.com/ilan/kecioren-bademlikte-caddeye-yakin-31-bagimsiz-kiralik-daire-17733763,,31373,4,,,,,,,,,,
17734846,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,105 m²,2+1,21 Ve Üzeri,Yüksek Giriş,2,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,22.500TL,Ankara - Keçiören - Aşağı Eğlence Mahallesi,https://www.emlakjet.com/ilan/asagi-eglencede-gata-ve-sehir-hastanesi-yakini-21-esyali-daire-17734846,,2955,11,,,,,,,,,,
17737684,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,5-10,4.Kat,10,Kombi Doğalgaz,Boş,,,,Yabancıdan,Hayır,,2,Genel Fiyat,25.500TL,Ankara - Mamak - Durali Alıç Mahallesi,https://www.emlakjet.com/ilan/yonca-emlak-durali-alic-mah-kiralik-31-daire-17737684,,,,,,,,,,,,,
17737639,30 Temmuz 2025,01 Ağustos 2025,Konut,Kiralık,Daire,48 m²,55 m²,1 Oda,5-10,6.Kat,9,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,,1,Genel Fiyat,22.500TL,Ankara - Etimesgut - Şehit Osman Avcı Mahallesi,https://www.emlakjet.com/ilan/11-esyasiz-cam-balkonlu-kiralik-daire-eryaman-goksu-yani-17737639,,46622,1,,,,,,,,,,
17736161,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,16-20,5.Kat,5,Kombi Doğalgaz,Kiracı Oturuyor,,,600 TL,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,25.000TL,Ankara - Etimesgut - Topçu Mahallesi,https://www.emlakjet.com/ilan/akif-ten-topcu-da-31-site-ici-on-cephe-asansorlu-25-agustost-a-bosalacak-kiralik-daire-17736161,25000 TL,46252,1,,,,,,,,,,
17734208,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,25 m²,35 m²,1+1,21 Ve Üzeri,1.Kat,7,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,25.000TL,Ankara - Altındağ - Hacettepe Mahallesi,https://www.emlakjet.com/ilan/dikimevi-nde-aileye-ogrenciye-kamu-personeline-uygun-kiralik-11-17734208,,2748,9,,,,,,,,,,
17736923,30 Temmuz 2025,11 Ağustos 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),4,Merkezi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,29.000TL,Ankara - Çankaya - Emek Mahallesi,https://www.emlakjet.com/ilan/emek-15-cad-on-cephe-tadilatli-21-kiralik-daire-17736923,,,,Boş,,,,,,,,,
17735172,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,,,150 TL,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,22.500TL,Ankara - Keçiören - Aşağı Eğlence Mahallesi,https://www.emlakjet.com/ilan/sadece-memura-gulhane-ve-etlik-sehir-hastanesine-yurume-mesafesinde-full-esyali-21-daire-17735172,22500 TL,2955,11,,,,,,,,,,
17734580,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,27.000TL,Ankara - Mamak - Kıbrısköy Mahallesi,https://www.emlakjet.com/ilan/vega-gayrimenkul-kibriskoy-site-icinde-31-yapili-daire-17734580,,,,Boş,,,,,,,,,
17734853,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,150 m²,175 m²,4+1,11-15,2.Kat,12,Merkezi (Pay Ölçer),Kiracı Oturuyor,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,45.000TL,Ankara - Yenimahalle - Yeni Batı Mahallesi,https://www.emlakjet.com/ilan/batikent-cakirlar-buyuk-gobekte-ara-kat-kiralik-41-daire-17734853,,,,Boş,,,,,,,,,
